include	character_name	official_name	alternate_name	cancel_types	guard_type	sort_order	combo_type	content	conditions	tag_list	hits	damage	damage_formula	life_point_damage	chip_damage	chip_damage_max	chip_damage_formula	stun_damage	stun_damage_formula	startup	startup_formula	active	active_formula	active_until_landing	whiff_recovery	whiff_recovery_formula	block_advantage	block_advantage_min	block_advantage_max	block_advantage_formula	hit_advantage	hit_advantage_min	hit_advantage_max	hit_advantage_formula	crouching_hit_advantage	crouching_hit_advantage_min	crouching_hit_advantage_max	crouching_hit_advantage_formula	meter_cost	meter_cost_formula	whiff_meter_build	whiff_meter_build_formula	block_meter_build	block_meter_build_formula	hit_meter_build	hit_meter_build_formula	parry_meter_build	parry_meter_build_formula	description	metadata
TRUE	Sean	-	Taunt	-	Any	-	Unique Mechanic	HP+HK		-		-	-	-	-		-	0	-	31	-	-	-	-	19	-	-			-	-			-	-			-	-	-	4	-	7	-	11	-	4	-	Adds 12.5% stun to the next hit/combo with the maximum amount being 37.5% (3 times).	{"Parry":"HL"}
TRUE	Sean	-	Universal Overhead	-	Overhead	-	Universal Mechanic	MP+MK		-		40	-	7	-		-	3	-	15	-	8	-	-	7	-	-	-5	7	-5~+7	-	0	8	0~+8	-	1	9	=+1~+9	-	-	0	-	1	-	2	-	-	-		{"Parry":"H"}
TRUE	Sean	Tomoe Throw		-	Throw Tech	-	Universal Mechanic	4+LP+LK		-		140	-	24	-		-	4	-	2	-	1	-	-	21	-	-			-	-			-	-			-	-	-	-	-	-	-	-	-	-	-		{"Throw Range":"20","Kara-Throw":"Far + HP/F + HP/Far HK/Cr.MK/Cr.HK","Kara-Throw Range":"32/34/28/33/33"}
TRUE	Sean	Zenten		-	-	510	Special	214+P		-	3	0	-	0	0		-	0	-	2	-	-	17/27/41 (I think this means LP/MP/HP)	-	7	-	-			-	-			-	-			-	-	-	0	-	0	-	0	-	0	-	Zenten lowers his hit-box to the ground which allows him to avoid throws and projectiles for however long its out on screen.  It can even avoid high hitting supers altogether when done early enough.  Its parry bait as well since opponents who know about this move will stick lows/overheads out constantly to punish you for using this.  Its throw invincible though not attack invincible.  It can help you out every once in a while to get out of pressure but its not recommended to do it all the time.	-
TRUE	Sean	Ryuubi Kyaku		-	Overhead	520	Special	236+K		-		120	-	21	15		-	19	-	25	-	8	-	-	15	-	-	-5	2	-5 to +2	-	-5	2	-5 to +2	-	-3	0	-3 to 0	-	-	3	-	15	-	21	-	4	-	The secondary special AA that Sean has.  The range of this move is deceptive, it can hit very high in the air and even stuff out some of the other shoto's air tatsu's.  Useful for when the opponent tries to jump out of the corner and you smack them back down into there with it.  The EX can hit up to 3 times if you catch an Opp. jumping away or if you're up close (Akuma, Remy, Urien and Hugo).  Like the tackle, you can also combo into this off the basketball taunt, you know, for style.  This move is one that opponents tend to look out for or bait out the most because of how easy it is to parry it, even the EX so be careful.	{"Parry":"H"}
TRUE	Sean	Ryuubi Kyaku (EX)		-	Overhead	525	Special	236 + KK		ex, multi hit	3	200	60+70+70	32	17		5+6+6	21	21(7×3)	25	25・27・29・31	8	2・2・2・2	-	19	-	-	-1	2	-1 to +2	-	-1	2	-1 to +2	-1			-	40	-	-	-	-	-	-	-	-	8 (12 if hits 3 times)	Generally its -1 on hit/block but like Non-EX Wheel Kicks it depends on the distance away and/or the character.  Its off the ground in 11 frames as opposed to 15 frames (Non-EX) and hits up to 3 times.	{"Parry":"H"}
TRUE	Sean	Dragon Smash (LP)		Super	Any	531	Special	623 + LP		hard knockdown		130	-	23	16		-	11	-	5	-	6	-	-	36	-	-24			-	-			-	-			-	-	-	2	-	6	-	11	-	-	-	Sean's version of the Shoryuken.  The variations come out in 5/7/8/9 frames respectively, but do all the same damage (except EX) and can cancel into Hadou Burst and Shoryu Cannon.  Be for-warned, you can't treat this like a normal DP.  Its slower by a few frames and it has most of its priority over Sean's head.  It also doesn't have much range either, so it has a high chance of whiff-ing plus you can't combo into it off of Cl.HK (only on Dudley, Urien, Elena, and Twelve) and he can be grabbed out of it as well (all versions).	{"Parry":"HL"}
TRUE	Sean	Dragon Smash (MP)		Super	Any	532	Special	623 + MP		hard knockdown		130	-	23	16		-	11	-	7	-	8	-	-	39	-	-30			-	-			-	-			-	-	-	2	-	6	-	11	-	-	-	Sean's version of the Shoryuken.  The variations come out in 5/7/8/9 frames respectively, but do all the same damage (except EX) and can cancel into Hadou Burst and Shoryu Cannon.  Be for-warned, you can't treat this like a normal DP.  Its slower by a few frames and it has most of its priority over Sean's head.  It also doesn't have much range either, so it has a high chance of whiff-ing plus you can't combo into it off of Cl.HK (only on Dudley, Urien, Elena, and Twelve) and he can be grabbed out of it as well (all versions).	{"Parry":"HL"}
TRUE	Sean	Dragon Smash (HP)		Super	Any	533	Special	623 + HP		hard knockdown		130	-	23	16		-	11	-	9	-	10	-	-	42	-	-34			-	-			-	-			-	-	-	2	-	6	-	11	-	-	-	Sean's version of the Shoryuken.  The variations come out in 5/7/8/9 frames respectively, but do all the same damage (except EX) and can cancel into Hadou Burst and Shoryu Cannon.  Be for-warned, you can't treat this like a normal DP.  Its slower by a few frames and it has most of its priority over Sean's head.  It also doesn't have much range either, so it has a high chance of whiff-ing plus you can't combo into it off of Cl.HK (only on Dudley, Urien, Elena, and Twelve) and he can be grabbed out of it as well (all versions).	{"Parry":"HL"}
TRUE	Sean	Dragon Smash (EX)		Super	Any	535	Special	623 + PP		hard knockdown, ex	2	180	90+90(60)	31	18		11+7	16	-	8	8・9	12	1・11	-	42	-	-37			-	-			-	-			-	40	-	-	-	-	-	-	-	8	-	Sean's EX Dragon Smash has the most invincibility of all the shoto DPs (8 frames) and the most hit frames and height out of the other Dragon Smashes.  He can be thrown out of this usually but there are situations where he can't.	{"Parry":"HL"}
TRUE	Sean	Tornado (LK)		-	Any	541	Special	214 + LK		multi hit	2	100	50+50	16	9		-	10	10(5+5)	11	-	2	-	-	21	-	-7			-	-5			-	-	-5	-2	-5 to -2	-	-	3	-	13	-	19	-	8	-	This is Sean's version of the tatsu. Its easy to combo into (LK/MK/EX versions) from HK, MP, etc.  Does good damage and its useful for pressuring opponents.  The LK tornado can be used as an anti-air and combo'd into SA1 before they hit the ground (in the corner only).  Also the HK or MK versions are great for chip out wins.  All variations of Tornado are unsafe on hit AND block (except for EX which is 99% safe) and comboing into the HK tornado works only vs Crouching opponents (still very unsafe).  The first hit all of the Tornadoes force stand which makes the move even more unsafe than it should be.	{"Parry":"H/H"}
TRUE	Sean	Tornado (MK)		-	Any	542	Special	214 + MK		multi hit	3	150	50x3	24	13		-	15	15(5x3)	14	-	2	-	-	21	-	-6			-	-4			-	-	-4	-2	-4 to -2	-	-	3	-	14	-	20	-	12	-	This is Sean's version of the tatsu. Its easy to combo into (LK/MK/EX versions) from HK, MP, etc.  Does good damage and its useful for pressuring opponents.  The LK tornado can be used as an anti-air and combo'd into SA1 before they hit the ground (in the corner only).  Also the HK or MK versions are great for chip out wins.  All variations of Tornado are unsafe on hit AND block (except for EX which is 99% safe) and comboing into the HK tornado works only vs Crouching opponents (still very unsafe).  The first hit all of the Tornadoes force stand which makes the move even more unsafe than it should be.	{"Parry":"H/H/H"}
