character_name	alternate_name	include	hits	cancel_types	guard_type	description	official_name	sort_order	combo_type	content	conditions	tag_list	damage_data.damage	damage_data.damage_formula	damage_data.life_point_damage	damage_data.chip_damage	damage_data.chip_damage_formula	damage_data.stun_damage	damage_data.stun_damage_formula	frame_data.startup_frames	frame_data.startup_frames_formula	frame_data.active_frames	frame_data.active_frames_formula	frame_data.active_until_landing	frame_data.whiff_recovery_frames	frame_data.whiff_recovery_frames_formula	frame_data.hit_frame_advantage	frame_data.hit_frame_advantage_formula	frame_data.block_frame_advantage	frame_data.block_frame_advantage_formula	frame_data.crouching_hit_frame_advantage	frame_data.crouching_hit_frame_advantage_formula	meter_data.meter_cost	meter_data.meter_cost_formula	meter_data.whiff_meter_build	meter_data.whiff_meter_build_formula	meter_data.block_meter_build	meter_data.block_meter_build_formula	meter_data.hit_meter_build	meter_data.hit_meter_build_formula	meter_data.parry_meter_build	meter_data.parry_meter_build_formula	metadata
Remy	Light of Virtue (Punch)	TRUE		Super	Any	The traditional Sonic Boom, in a game where you can parry sonic booms. Just like Guile, Remy's Sonic Boom is the best meterless projectile in the game, with lightning fast recovery and great frame advantage. It's so fast that someone could reaction super through your fireballs and you would still have enough time to smack them with a super 2 afterwards. You can set up a meaty Sonic Boom (*ahem* Light of Virtue) very easily after a knockdown for obnoxious kara throw mixups, kara UOH, low Short, pokes, or whatever else you want to subject your opponent to depending on the character. The high version can unfortunately be crouched by most characters (except Q and Hugo, in which matchups this move is incredibly obnoxious). This move also synergizes very well with Remy's great forward dash or a spaced Cold Blue Kick to quickly approach with a Sonic Boom in front.		510	Special	[4]+6+P		charge, projectile	60		10	4		3		N/A		2			33		6		5		7				0		1		1		4		{"Parry":"H","Juggle Value":"7","Reset or Juggle":"Reset"}
Remy	Light of Virtue (LP)	FALSE		Super	Any	The traditional Sonic Boom, in a game where you can parry sonic booms. Just like Guile, Remy's Sonic Boom is the best meterless projectile in the game, with lightning fast recovery and great frame advantage. It's so fast that someone could reaction super through your fireballs and you would still have enough time to smack them with a super 2 afterwards. You can set up a meaty Sonic Boom (*ahem* Light of Virtue) very easily after a knockdown for obnoxious kara throw mixups, kara UOH, low Short, pokes, or whatever else you want to subject your opponent to depending on the character. The high version can unfortunately be crouched by most characters (except Q and Hugo, in which matchups this move is incredibly obnoxious). This move also synergizes very well with Remy's great forward dash or a spaced Cold Blue Kick to quickly approach with a Sonic Boom in front.	Light of Virtue (LP)	511	Special	[4]+6+LP		charge, projectile	60	-	10	4	-	3	-	8	-	1	-	-	22	-	6	-	5	-	7	-	-	-	0	-	1	-	1	-	4	-	{"Parry":"H","Juggle Value":"7","Reset or Juggle":"Reset"}
Remy	Light of Virtue (MP)	FALSE		Super	Any	The traditional Sonic Boom, in a game where you can parry sonic booms. Just like Guile, Remy's Sonic Boom is the best meterless projectile in the game, with lightning fast recovery and great frame advantage. It's so fast that someone could reaction super through your fireballs and you would still have enough time to smack them with a super 2 afterwards. You can set up a meaty Sonic Boom (*ahem* Light of Virtue) very easily after a knockdown for obnoxious kara throw mixups, kara UOH, low Short, pokes, or whatever else you want to subject your opponent to depending on the character. The high version can unfortunately be crouched by most characters (except Q and Hugo, in which matchups this move is incredibly obnoxious). This move also synergizes very well with Remy's great forward dash or a spaced Cold Blue Kick to quickly approach with a Sonic Boom in front.	Light of Virtue (MP)	512	Special	[4]+6+MP		charge, projectile	60	-	10	4	-	3	-	9	-	1	-	-	22	-	6	-	5	-	7	-	-	-	0	-	1	-	1	-	4	-	{"Parry":"H","Juggle Value":"7","Reset or Juggle":"Reset"}
Remy	Light of Virtue (HP)	FALSE		Super	Any	The traditional Sonic Boom, in a game where you can parry sonic booms. Just like Guile, Remy's Sonic Boom is the best meterless projectile in the game, with lightning fast recovery and great frame advantage. It's so fast that someone could reaction super through your fireballs and you would still have enough time to smack them with a super 2 afterwards. You can set up a meaty Sonic Boom (*ahem* Light of Virtue) very easily after a knockdown for obnoxious kara throw mixups, kara UOH, low Short, pokes, or whatever else you want to subject your opponent to depending on the character. The high version can unfortunately be crouched by most characters (except Q and Hugo, in which matchups this move is incredibly obnoxious). This move also synergizes very well with Remy's great forward dash or a spaced Cold Blue Kick to quickly approach with a Sonic Boom in front.	Light of Virtue (HP)	513	Special	[4]+6+HP		charge, projectile	60	-	10	4	-	3	-	10	-	1	-	-	22	-	6	-	5	-	7	-	-	-	0	-	1	-	1	-	4	-	{"Parry":"H","Juggle Value":"7","Reset or Juggle":"Reset"}
Remy	Light of Virtue (Kick)	TRUE		Super	Low	Sagat much? While the high Sonic Boom has better frame advantage and startup, the low Sonic Boom has the incredible plus of both being a low and hitting crouching opponents. The only options an opponent has against it are blocking it, parrying it, jumping out of the way, or supering through it. Additionally, since the low and high Sonic Booms are different projectiles, you can have one of each on the screen at any one time.		520	Special	[4]+6+K		charge, projectile	60		10	4		3		N/A		1			22		2		1		3				0		1		1		4		{"Parry":"L","Juggle Value":"7","Reset or Juggle":"Reset"}
Remy	Light of Virtue (LK)	FALSE		Super	Low	Sagat much? While the high Sonic Boom has better frame advantage and startup, the low Sonic Boom has the incredible plus of both being a low and hitting crouching opponents. The only options an opponent has against it are blocking it, parrying it, jumping out of the way, or supering through it. Additionally, since the low and high Sonic Booms are different projectiles, you can have one of each on the screen at any one time.	Light of Virtue (LK)	521	Special	[4]+6+LK		charge, projectile	60	-	10	4	-	3	-	10	-	1	-	-	22	-	2	-	1	-	3	-	-	-	0	-	1	-	1	-	4	-	{"Parry":"L","Juggle Value":"7","Reset or Juggle":"Reset"}
Remy	Light of Virtue (MK)	FALSE		Super	Low	Sagat much? While the high Sonic Boom has better frame advantage and startup, the low Sonic Boom has the incredible plus of both being a low and hitting crouching opponents. The only options an opponent has against it are blocking it, parrying it, jumping out of the way, or supering through it. Additionally, since the low and high Sonic Booms are different projectiles, you can have one of each on the screen at any one time.	Light of Virtue (MK)	522	Special	[4]+6+MK		charge, projectile	60	-	10	4	-	3	-	11	-	1	-	-	22	-	2	-	1	-	3	-	-	-	0	-	1	-	1	-	4	-	{"Parry":"L","Juggle Value":"7","Reset or Juggle":"Reset"}
Remy	Light of Virtue (HK)	FALSE		Super	Low	Sagat much? While the high Sonic Boom has better frame advantage and startup, the low Sonic Boom has the incredible plus of both being a low and hitting crouching opponents. The only options an opponent has against it are blocking it, parrying it, jumping out of the way, or supering through it. Additionally, since the low and high Sonic Booms are different projectiles, you can have one of each on the screen at any one time.	Light of Virtue (HK)	523	Special	[4]+6+HK		charge, projectile	60	-	10	4	-	3	-	12	-	1	-	-	22	-	2	-	1	-	3	-	-	-	0	-	1	-	1	-	4	-	{"Parry":"L","Juggle Value":"7","Reset or Juggle":"Reset"}
Remy	Light of Virtue (Punch) (EX)	TRUE	2	Super	Any	Frame Data	Light of Virtue (EX)	531	Special	[4]+6+PP		charge, projectile, ex	120	-	20	8	8(4+4)	6	6(3+3)	7	7/8*	1	-	-	23	-	5	-	4	-	6	-	40	-	0	-	0	-	0	-	8	-	{"Parry":"H","Juggle Value":"14 (7+7)","Reset or Juggle":"Juggle"}
Remy	Light of Virtue (Kick) (EX)	TRUE	2	Super	Any	Frame Data	Light of Virtue (EX)	532	Special	[4]+6+KK		charge, projectile, ex	120	-	20	8	8(4+4)	6	6(3+3)	8	7/8*	1	-	-	27	-	1	-	4	-	2	-	40	-	0	-	0	-	0	-	8	-	{"Parry":"H","Juggle Value":"14 (7+7)","Reset or Juggle":"Juggle"}
