Name	startup_frames	active_frames	whiff_recovery_frames	hit_frame_advantage	crouching_hit_frame_advantage	damage	stun_damage	guard_type	parry	block_frame_advantage
Close LP	3	3	5	3	3	5	3	-	A	3
Far LP	4	3	4	4	4	3	3	-	A	4
Close MP	5	4	10	2	3	20	7	-	H	1
Far MP	5	4	9	5	5	18	11	-	H	4
Close HP	4	4	17	-2	-	24	15	-	H	-4
Far HP	8	5	22	-4	-2	24	13	-	H	-6
Stand LK	4	4	7	2	2	7	3	-	A	2
Close MK	4	5	11	4	6	20	9	-	H	2
Far MK	5	5	17	-6	-5	16	7	-	H	-7
Close HK	5	8	25	-4	-	33	23	-	H*H	-6
Far HK	9	5	20	-5	-3	25	11	-	H	-7
Zugai Hasatsu	14	2	22	1	3	14	15	-	H	-1
Crouch LP	4	3	5	3	3	3	3	-	A	3
Crouch MP	5	4	7	4	5	16	7	-	A	3
Crouch HP	5	5	19	-6	-4	24	11	-	A	-8
Crouch LK	5	3	7	1	1	3	3	-	L	1
Crouch MK	6	5	16	-2	-1	16	3	-	L	-3
Crouch HK	7	5	25	28	28	24	3	-	L	-15
Jump LP	4	-	-	-	-	7	5	-	H	-
Jump MP	5	5	-	-	-	16	9	-	H	-
Jump HP (Neutral)	6	3	-	-	-	23	13	-	H	-
Jump HP	6	4	-	-	-	23	13	-	H	-
Jump LK	4	10	-	-	-	7	5	-	H	-
Jump MK (Neutral)	5	6	-	-	-	14	7	-	H	-
Jump MK	5	6	-	-	-	14	7	-	H	-
Jump HK (Neutral)	6	5	-	-	-	21	11	-	H	-
Jump HK	6	4	-	-	-	21	11	-	H	-
Tenma Kujin Kyaku	8	10	7	-	-	16	11	-	H	-
Close Standing MP-HP (TC)	8	2	28	-10	-8	11	3	-	H	-12
Seoi Nage	2	1	21	45	-	19	8	-	N	-
Tomoe Nage	2	1	21	70	-	19	14	-	N	-
Straight Hit	15	8	7	-	-	7	3	-	H	-
Kiai	66	-	-	-	-	-	-	-	-	-
Gou Hadouken	8	-	38	-	-	17	3	-	H	-11
Zankuu Hadouken	12	24	N/A	-	-	10	3	-	H	2
Shakunetsu Hadouken	14	44	42	-	-	8	3	-	H	-23
Gou Shoryuken	3	14	26	-	-	23	11	-	A	-24
Ashura Senkuu (Long)	-	65	9	-	-	-	-	-	-	-
Ashura Senkuu (Short)	-	49	9	-	-	-	-	-	-	-
Tatsumaki Zankuu Kyaku	11	4	17	-	-	17	7	-	H	-12
Air Tatsumaki Zankuu Kyaku	5	3	40	-	-	14	3	-	H	-8
Hyakki Shuu	40	15	13	-	-	17	3	-	L	-11
Hyakki Goushou	10	3	20	-	-	23	13	-	H	-
Hyakki Goujin	9	10	7	-	-	17	11	-	H	-
Hyakki Gousai	3	2	34	-	-	19	14	-	N	-
Messatsu Gou Hadou	2	42	-	-	-	47	-	-	H (6)	-13
Tenma Gou Zankuu	7	32	-	-	-	53	-	-	H (6)	-15
Messatsu Gou Shoryuu	1	24	37	-	-	66	16	-	A (7)	-25
Messatsu Gou Rasen (Ground)	4	22	51	-	-	65	-	-	A	-76
Messatsu Gou Rasen (Air)	2	27	45	-	-	67	-	-	A	-56
Shun Goku Satsu	1	39	2	-	-	87	-	-	N	-
Kongou Kokuretsu Zan	16	24	64	-	-	107	28	-	N * A (9)	-28
