Name	startup_frames	active_frames	whiff_recovery_frames	hit_frame_advantage	crouching_hit_frame_advantage	damage	stun_damage	guard_type	parry	block_frame_advantage
Close LP	2	2	6	2	2	5	3	-	A	2
Far LP	3	5	4	2	2	3	3	-	A	2
Stand MP	6	8	9	-1	-	17	11	-	H	-2
Stand HP	8	6	17	-	2	19	11	-	H	-2
Stand LK	3	5	9	1	1	7	3	-	A	1
Close MK	6	2	25	-	-	14	5	-	H	-2
Far MK	7	6	19	-3	-1	16	11	-	H	-5
Close HK	4	9	12	-1	1	21	15	-	H	-3
Far HK	12	1	15	2	4	21	13	-	H	-
Sourenshou	5	3	18	-	-	17	15	-	H	-2
Hakkei	7	9	10	1	3	23	15	-	H	-1
Senjoushuu	11	7	11	1	2	14	5	-	H	-
Kakushuu Rakukyaku	5	6*1*1	15	3	3	-	-	-	H*H*H	-1
Yokusenkyaku	12	1	15	2	4	21	13	-	H	-
Tenshin Shuukyaku	37	5	2	-	-	19	13	-	H	5
Crouch LP	2	4	5	3	3	3	3	-	A	3
Crouch MP	8	2	18	-3	-2	16	3	-	L	-4
Crouch HP	8	2	22	1	3	19	5	-	H	-1
Crouch LK	4	2	6	3	3	3	3	-	L	3
Crouch MK	6	2	14	-1	-	16	3	-	L	-2
Crouch HK	7	3	21	D	D	19	5	-	A	-7
Jump LP (Neutral)	4	-	-	-	-	7	7	-	A	-
Jump LP	2	-	-	-	-	7	7	-	H	-
Jump MP (Neutral)	6	-	-	-	-	14	11	-	H	-
Jump MP	4	-	-	-	-	10	9	-	H	-
Jump HP (Neutral)	10	3	-	-	-	23	15	-	H	-
Jump HP	9	6	-	-	-	14	9	-	H	-
Jump LK (Neutral)	5	22	-	-	-	7	7	-	H	-
Jump LK	5	-	-	-	-	8	5	-	H	-
Jump MK (Neutral)	6	2	-	-	-	14	9	-	H	-
Jump MK	6	13	-	-	-	16	9	-	H	-
Jump HK (Neutral)	8	5	-	-	-	23	13	-	H	-
Jump HK	10	3	-	-	-	19	13	-	H	-
Suitotsuda	10	3	-	-	-	-	15	-	H	-
Yousoukyaku	9	-	-	-	-	8	5	-	H	-
Jump HP-HP (TC)	2	6	-	-	-	?	5	-	H*H	-
Koshuutou	2	1	21	-	-	21	8	-	-	-
Ryuuseiraku	5	1	-	-	-	14	8	-	-	-
Triangle Jump	6	-	-	-	-	-	-	-	-	-
Kakushiken	16	10	5	0 ~8	1~9	7	3	-	H	-5~7
Yawn	-	-	-	-	-	-	-	-	-	-
Kikkoken	14	36	45	-	-	8	3	-	H	-17
Hyakuretsukyaku	6	7	-	-	-	17	11	-	H	-
Spinning Bird Kick	12	4	-	-	-	21	15	-	H	-
Hazan Shu	22	3	18	-	-	17	11	-	H	-2
Kikoshou	1	20	48	-	-	57	-	-	A	-39
Houyoku Sen	3	19	35	-	-	67	24	-	H	-23
Tensei Ranka	3	16	46	-	-	49	19	-	A	-30
