Name	startup_frames	active_frames	whiff_recovery_frames	hit_frame_advantage	crouching_hit_frame_advantage	damage	stun_damage	guard_type	parry	block_frame_advantage
Stand LP	3	2	6	3	3	3	3	-	A	3
Stand MP	3	2	10	2	4	10	9	-	H	1
Stand HP	7	3	17	1	3	24	13	-	H	-1
Stand LK	5	2	8	2	2	5	3	-	A	2
Stand MK	5	3	13	2	2	14	11	-	H	-
Stand HK	5	3	12	6	8	21	13	-	H	4
Slipping Jab	4	2	8	1	1	4	3	-	A	1
Stomach Blow	8	5	10	-	1	14	5	-	H	-1
Step Straight	15	5	16	-1	1	24	13	-	H	-3
Liver Blow	5	2	9	3	3	17	9	-	H	2
Dart Shot	12	4	16	-	2	19	7	-	H	-2
Crouch LP	3	1	9	1	1	3	3	-	A	1
Crouch MP	4	2	9	3	4	12	7	-	A	2
Crouch HP	7	4	13	2	2	23	13	-	A	-
Crouch LK	4	1	10	-	-	5	3	-	L	-
Crouch MK	9	3	22	D	D	10	3	-	L	-12
Crouch HK	15	3	21	D	D	17	3	-	L	1
Jump LP	4	4	-	-	-	7	9	-	H	-
Jump MP	5	4	-	-	-	12	13	-	H	-
Jump HP	8	3	-	-	-	21	15	-	H	-
Jump LK	4	17	-	-	-	7	5	-	H	-
Jump MK	5	13	-	-	-	10	7	-	H	-
Jump HK	12	4	-	-	-	16	9	-	H	-
f+LP - MP	-	-	-	-	-	-	-	-	-	-
f+LP - MP - MK	-	-	-	-	-	-	-	-	-	-
c.LK - st.MK	-	-	-	-	-	-	-	-	-	-
Liver Crusher	2	1	21	-	-	19	22	-	-	-
Dynamite Throw	2	1	21	-	-	21	12	-	-	-
Jumping Elbow	15	10	5	0 ~ +8	1 ~ +9	7	3	-	H	-5 ~ +7
Rose Throw	38	-	-	-	-	1	-	-	A	-
Jet Uppercut	4	8	29	-	-	24	17	-	A	-23
Machine Gun Blow	8	8	18	-	-	19	7	-	H	-3
Ducking Rush	-	-	-	-	-	-	-	-	-	-
Ducking Straight	21/20/22	4	19	-	-	28	17	-	H	-7
Ducking Upper	20/19/21	4	25	-	-	30	11	-	H	-12
Cross Counter	2	-	-	-	-	-	-	-	A	-
Short Swing Blow	17	3	13	-	-	33	19	-	H	-
Rocket Uppercut	1	40	31	-	-	63	10	-	A	-
Rolling Thunder	2	17	20	-	-	60	13	-	H	-
Rolling Thunder (Hold)	2	17	20	-	-	60	13	-	H	-
Corkscrew Blow	1	10	24	-	-	46	-	-	H	-
