Name	startup_frames	active_frames	whiff_recovery_frames	hit_frame_advantage	crouching_hit_frame_advantage	damage	stun_damage	guard_type	parry	block_frame_advantage
Stand LP	5	4	10	-	-	7	5	-	A	-
Stand MP	6	5	19	-1	-	15	15	-	H	-2
Stand HP	13	4	19	-2	-	24	17	-	H	-4
Stand LK	3	4	6	4	4	7	3	-	A	4
Stand MK	7	2	17	-1	-	16	7	-	A	-2
Stand HK	10	7	11	-1	-	23	13	-	H	-2
Handstand Kick	15	4	18	-	2	17	13	-	H	-2
Handstand Whip	11	8	16	-4	-2	14	7	-	H	-6
Round Arch	12	6	12	6	8	24	17	-	H	4
Slide	12	6	24	29	29	17	3	-	L	-14
Crouch LP	4	4	7	-1	-1	7	5	-	A	-1
Crouch MP	6	6	10	-2	-1	16	7	-	A	-3
Crouch HP	7	2	23	-5	-3	19	17	-	H	-7
Crouch LK	4	4	8	-2	-2	7	3	-	L	-2
Crouch MK	8	3	13	-2	-1	12	3	-	L	-3
Crouch HK	11	2	26	34	34	17	3	-	L	-9
Jump LP	5	10	-	-	-	8	7	-	H	-
Jump MP	7	5	-	-	-	17	13	-	H	-
Jump HP	8	3	-	-	-	21	11	-	H	-
Jump LK	6	8	-	-	-	8	7	-	H	-
Jump MK	8	6	-	-	-	16	9	-	H	-
Jump HK	10	6	-	-	-	24	15	-	H	-
Leg Lift Throw	2	1	21	70	-	21	12	-	-	-
Knee Attack	15	10	5	-	-	7	3	-	H	-
Handstand	18	5	62	-	-	2	-	-	A	-68
Scratch Wheel	6	4	31	-	-	23	13	-	A	-19
Rhino Horn	14	9	14	-	-	31	20	-	A	-3
Mallet Smash	21	8	13	-	-	27	17	-	H	1
Spinning Scythe	15	4	18	-	-	20	5	-	H	-2
Lynx Tail	11	6	35	-	-	10	3	-	L	-17
Spinning Beat	1	17	43	-	-	50	14	-	A	-30
Brave Dance	1	15	14	-	-	68	-	-	A	-12
Healing	1	-	15	-	-	-	-	-	-	-
