Name	startup_frames	active_frames	whiff_recovery_frames	hit_frame_advantage	crouching_hit_frame_advantage	damage	stun_damage	guard_type	parry	block_frame_advantage
Stand LP	4	4	8	-1	-1	6	5	-	A	-1
Stand MP	10	7	12	-	1	21	13	-	H	-5
Stand HP	16	7	15	-1	1	30	21	-	H	-3
Stand LK	5	4	9	1	1	8	3	-	A	1
Stand MK	9	6	23	1	3	19	13	-	H	-4
Stand HK	21	8	28	-2	3	26	19	-	H	-18
Hammer Hook	14	4	33	4	4	28	21	-	H	-14
Crouch LP	4	3	8	-1	-1	5	3	-	A	-1
Crouch MP	7	5	12	-1	-	16	3	-	A	-2
Crouch HP	13	10	37	D	D	19	13	-	A	-29
Crouch LK	3	3	7	2	2	7	3	-	L	2
Crouch MK	8	5	17	D	D	17	3	-	L	-5
Crouch HK	11	23	35	D	D	30	13	-	A	-43
Jump LP	4	11	-	-	-	7	9	-	H	-
Jump MP	7	8	-	-	-	17	13	-	H	-
Jump HP	12	5	-	-	-	26	17	-	H	-
Jump LK	4	16	-	-	-	10	7	-	H	-
Jump MK	6	7	-	-	-	17	11	-	H	-
Jump HK	12	7	-	-	-	23	15	-	H	-
Body Press	9	-	-	-	-	17	17	-	H	-
Neck Hanging Three	2	1	21	D	D	21	27	-	-	-
Body Slam	2	1	21	D	D	28	12	-	-	-
Knee Attack	15	10	5	0 ~ +8	1 ~ +9	7	3	-	H	-5 ~ +2
Intimidation	-	-	-	-	-	-	-	-	-	-
Intimidation + Poison Taunt	-	-	-	-	-	-	-	-	-	-
Shootdown Backbreaker	5	9	30	-	-	32	14	-	-	-
Moonsault Press	2	2	36	-	-	42	18	-	-	-
Meat Squasher	21 ~ 24	2	30	-	-	28	13	-	-	-
Giant Palm Bomber	17	2	9	13	15	19	15	-	H	11
Monster Lariat	11	5	21 ~ 25	-	-	26	11	-	H	-8
Ultra Throw	7	2	36	-	-	12	7	-	-	-
Gigas Breaker	1+0	2	36	-	-	102	18	-	-	-
Megaton Press	3	12	30	-	-	75	27	-	-	-
Hammer Frenzy	5	18	47	-	-	64	24	-	A	-29
