Name	startup_frames	active_frames	whiff_recovery_frames	hit_frame_advantage	crouching_hit_frame_advantage	damage	stun_damage	guard_type	parry	block_frame_advantage
Close LP	3	3	5	3	3	3	3	-	A	3
Far LP	5	3	4	4	4	3	3	-	A	4
Close MP	4	4	10	2	3	17	7	-	H	1
Far MP	6	3	10	4	5	16	11	-	H	3
Close HP	6	3	15	-	2	23	15	-	H	-2
Far HP	9	3	15	2	4	23	13	-	H	-
Stand LK	4	4	7	2	2	7	3	-	A	2
Stand MK	8	7	16	-2	-	19	15	-	H	-6
Stand HK	11	6	19	-2	-	26	11	-	H	-4
Inazuma Kakato Wari (Short)	18	4	10	2	3	21	13	-	H	1
Inazuma Kakato Wari (Long)	8>25	8	10	-	3	29	22	-	H	-1
Fumikomi Maegeri	16	4	15	-1	-	14	7	-	H	-4
Shiden Kakato Otoshi	30	5	18	1	3	21	11	-	H	-1
Crouch LP	4	3	5	3	3	3	3	-	A	3
Crouch MP	5	4	7	4	5	16	7	-	A	3
Crouch HP	7	5	17	-4	-2	23	13	-	A	-6
Crouch LK	5	3	7	1	1	3	3	-	L	1
Crouch MK	6	5	17	-3	-2	15	3	-	L	-4
Crouch HK	6	5	26	D	D	23	3	-	L	-14
Jump LP (Neutral)	5	-	-	-	-	10	7	-	H	-
Jump LP	4	-	-	-	-	8	7	-	H	-
Jump MP (Neutral)	6	5	-	-	-	17	11	-	H	-
Jump MP	5	5	-	-	-	17	11	-	H	-
Jump HP (Neutral)	7	3	-	-	-	23	15	-	H	-
Jump HP	6	4	-	-	-	23	15	-	H	-
Jump LK (Neutral)	5	-	-	-	-	8	7	-	H	-
Jump LK	4	10	-	-	-	8	5	-	H	-
Jump MK (Neutral)	5	6	-	-	-	16	9	-	H	-
Jump MK	5	6	-	-	-	16	9	-	H	-
Jump HK (Neutral)	7	5	-	-	-	23	13	-	H	-
Jump HK	6	4	-	-	-	22	13	-	H	-
Hizageri	2	1	21	D	D	27	12	-	-	-
Jigoku Kuruma	2	1	21	D	D	19	14	-	-	-
Seoi Nage	2	1	21	D	D	21	8	-	-	-
Straight Hit	15	8	7	0 ~ +7	1 ~ +8	7	3	-	H	-5 ~ 0
Taunt	15	2	27	-18	-	2	6	-	A	-18
Hadouken	11	-	38	-	-	10	3	-	H	-11
Shoryuken	2	8	26	-	-	26	11	-	A	-17
Tatsumaki Senpukyaku	6	7	14	-	-	19	9	-	H	-5
Air Tatsumaki Senpukyaku	7	4	-	-	-	27	9	-	H	-
Shoryureppa	1	34	45	-	-	69	6	-	A	-38
Shinryuken	2	36	61	-	-	67	-	-	A	-80
Shipuujinrai Kyaku	2	9	27	-	-	51	16	-	H	-11
