Name	startup_frames	active_frames	whiff_recovery_frames	hit_frame_advantage	crouching_hit_frame_advantage	damage	stun_damage	guard_type	parry	block_frame_advantage
Stand LP	4	6	6	2	2	5	3	-	A	2
Stand MP	8	11	4	7	8	14	9	-	H	6
Stand HP	8	2	22	-3	-1	21	15	-	H	-5
Stand LK	4	5	12	-2	-2	7	3	-	A	-2
Stand LK > Tatsunami	7	5	13	-1	-	16	7	-	A	-2
Stand MK	7	5	13	-1	-	16	7	-	A	-2
Stand HK	11	9	13	2	4	23	7	-	H	-
Kazami	4	4	8	-	-	4	3	-	A	-
Kaoruna	9	6	9	3	4	15	5	-	H	2
Shimaki	16	12	16	-2	-	26	13	-	H	-4
Shimaki > Yamase	16	23	13	-3	-2	31	17	-	H*H*H	-4
Shibuki	6	6	13	-5	-5	6	5	-	A	-5
Naruto	17	5	18	-3	-1	17	9	-	H	-5
Naruto > Dotou	12	9	13	2	4	23	7	-	H	-
Kuroshio	22	3	25	D	D	21	5	-	L	-11
Kuroshio (Fake)	1	-	43	-	-	-	-	-	-	-
Crouch LP	5	4	5	3	3	3	3	-	A	3
Crouch MP	7	7	11	-	1	12	5	-	A	-1
Crouch HP	10	2	21	D	D	17	3	-	L	-6
Crouch LK	4	6	10	-3	-3	5	3	-	L	-3
Crouch MK	7	8	7	4	5	16	5	-	A	3
Crouch HK	10	4	12	4	6	23	15	-	H	2
Jump LP (Neutral)	9	17	-	-	-	8	7	-	H	-
Jump LP	4	21	-	-	-	8	7	-	H	-
Jump MP (Neutral)	11	10	-	-	-	14	11	-	H	-
Jump MP	11	23	-	-	-	12	11	-	H	-
Jump HP (Neutral)	13	2	-	-	-	23	15	-	H	-
Jump HP	10	2	-	-	-	26	15	-	H	-
Jump LK	2	14	-	-	-	10	7	-	H	-
Jump MK	7	13	-	-	-	16	9	-	H	-
Jump HK	6	6	-	-	-	23	11	-	H	-
Tacchuu	2	1	21	D	D	16	16	-	-	-
Araiso	2	1	21	D	D	21	10	-	-	-
Chigusa	15	10	5	-	-	7	3	-	H	-
Kiai wo Reru (Lv 1)	79	3	-	-	-	1	3	-	A	-
Kiai wo Reru (Lv 2)	-	-	-	-	-	-	-	-	-	-
Kiai wo Reru (Lv 3)	-	-	-	-	-	-	-	-	-	-
Hayate	6	6	24	2	4	17	9	-	H	-12
Hayate (Lv 1)	8	6	24	2	4	19	11	-	H	-9
Hayate (Lv 2)	28	6	24	2	4	21	13	-	H	-6
Hayate (Lv 3)	48	6	24	D	D	24	13	-	H	-2
Hayate (Lv 4)	68	6	24	D	D	24	17	-	H	2
Hayate Feint	1	-	5 (16)	-	-	-	-	-	-	-
Hayate Taunt	1	-	31	-	-	-	-	-	-	-
Fukiage	7	8	26	D	D	21	29	-	A	-16
Oroshi	19	7	17	-2	-	17	7	-	H	-4
Tsurugi	14	4	-	-	-	24	13	-	H	1
Karakusa	7	3	28	14	14	5	8	-	-	-
Seichuusen Godanzuki	1	3	65	-	-	83	20	-	A	-17
Abare Tosanami Kudaki	14(-18)+1	5	25	-	-	59	22	-	H	-20
Tanden Renki: Seme No Kata	-	-	-	-	-	-	-	-	-	-
