Name	startup_frames	active_frames	whiff_recovery_frames	hit_frame_advantage	crouching_hit_frame_advantage	damage	stun_damage	guard_type	parry	block_frame_advantage
Stand LP	5	1	8	2	2	5	3	-	A	2
Stand MP	8	1	12	1	2	8	11	-	H	-
Stand HP	15	1	28	-11	-9	17	11	-	H	-13
Stand LK	4	1	9	1	1	7	5	-	A	1
Stand MK	9	1	14	-	1	12	3	-	A	-1
Stand HK	18	1	24	-6	-4	19	13	-	H	-8
Back LP	3	1	6	3	3	8	5	-	A	3
Back MP	4	2	10	2	3	12	11	-	H	1
Back HP	11	4	15	D	D	23	15	-	A	-3
Back LK	3	2	7	3	3	8	7	-	A	3
Back MK	5	1	10	4	5	14	13	-	H	3
Back HK	12	1	16	12	14	24	17	-	H	10
Elbow Cannon	9	1	14	D	D	24	11	-	A	2
Crouch LP	6	1	4	5	5	5	3	-	A	5
Crouch MP	8	1	12	1	2	10	7	-	A	-
Crouch HP	16	1	22	-5	-3	16	5	-	A	-7
Crouch LK	6	1	8	2	2	6	3	-	L	2
Crouch MK	12	1	17	-4	-3	10	3	-	L	-5
Crouch HK	13	1	27	31	31	17	3	-	L	-12
Jump LP (Neutral)	5	6	-	-	-	5	7	-	H	-
Jump LP	4	14	-	-	-	7	7	-	H	-
Jump MP (Neutral)	8	1	-	-	-	12	11	-	H	-
Jump MP	9	1	-	-	-	14	11	-	H	-
Jump HP	13	2	-	-	-	17	15	-	H	-
Jump LK	2	15	-	-	-	5	5	-	H	-
Jump MK	10	4	-	-	-	12	9	-	H	-
Jump HK	15	4	-	-	-	21	13	-	H	-
Drill Kick	9	-	-	-	-	10	6	-	A	-
Shoulder Attack	2	1	21	-	-	21	12	-	-	-
Frankensteiner	2	1	21	-	-	17	18	-	-	-
German Suplex (Throw)	2	1	21	-	-	-	-	-	-	-
Finger Attack	15	10	5	-	-	7	3	-	H	-
Tongue Waving	21	6	23	-15	-	2	-	-	A	-15
Electric Shock	6	6	16	-	-	10	9	-	H	-10
Snake Fang	12	1	28	-	-	24	10	-	-	-13
Tornado Hook	6	8	13	-	-	19	13	-	H	1
Flying Viper	26	5	17	-	-	21	13	-	H	-3
Raging Cobra	23	4	17	-	-	23	7	-	H	-5
Magnetic Storm	2	18 (??)	22	-	-	40	-	-	A	-12
Slam Dance	3	6	8	-	-	80	18	-	-	-
Electric Snake	3	-	39	-	-	47	24	-	L	-11
