Name	startup_frames	active_frames	whiff_recovery_frames	hit_frame_advantage	crouching_hit_frame_advantage	damage	stun_damage	guard_type	parry	block_frame_advantage
Close LP	4	4	6	2	2	6	3	-	A	2
Far LP	6	4	4	4	4	5	3	-	A	4
Stand MP	12	5	19	-	2	16	9	-	H	-2
Stand HP	18	16	23	D	D	23	15	-	H	-23
Stand LK	4	4	8	2	2	7	3	-	A	2
Close MK	7	2	18	-	2	17	3	-	H	-2
Far MK	8	5	14	1	3	19	7	-	H	-1
Stand HK	20	5	28	-10	-8	26	9	-	H	-12
Upwards Head Strike	8	4	18	-	-	17	13	-	H	-2
Double-Armed Advance	13	11	15	1	3	21	15	-	H	-1
Inversion Head Kick	11	7	35	D	D	24	3	-	A	-26
Crouch LP	5	4	4	4	4	3	3	-	A	4
Crouch MP	8	5	13	-1	-	16	9	-	A	-2
Crouch HP	14	1	20	-1	1	21	5	-	L	-3
Crouch LK	6	5	8	-2	-2	3	3	-	L	-2
Crouch MK	7	3	14	-2	-1	14	3	-	L	-3
Crouch HK	12	8	33	D	D	23	3	-	L	-25
Jump LP (Neutral)	3	-	-	+2 to +7	+7	7	7	-	H	+2 to +7
Jump LP	2	-	-	-8 to +7	+3 to +7	7	7	-	H	-8 to +7
Jump MP	7	6	-	+5 to +10	+9 to +10	17	11	-	H	+5 to +10
Jump HP	10	8	-	0 to +13	+9 to +13	23	15	-	H	0 to +13
Jump LK	4	-	-	-8 to +7	0 to +7	7	7	-	H	-8 to +7
Jump MK	9	8	-	-5 to +10	+6 to +10	16	9	-	H	-5 to +10
Jump HK	17	3	-	+3 to +13	+7 to +13	25	13	-	H	+3 to +13
Grab and Knee Smash	2	1	21	D	D	19	16	-	-	-
Depraved Impact	2	1	21	D	D	24	12	-	-	-
Leap Attack	15	10	5	-	-	7	3	-	H	-
Intimidation (Assumed)	21	1	62	-	-	-	-	-	-	-
Dashing Head Attack	13/24(hold	3	-/23	-	-	21/17	11/9	-	H	-2/-10
Dashing Leg Attack	25	2	29	-	-	19	3	-	L	-13
High Speed Barrage	9	3	26	-	-	24	7	-	H	-6
Capture and Deadly Blow	12	2	42	-	-	19	10	-	-	-
Critical Combo Attack	6	16	31	-	-	62	14	-	H	-19
Deadly Double Combination	2	1	65	-	-	80	20	-	A	-25
Total Destruction	19	-	-	-	-	-	-	-	-	-
Total Destruction: Blow	12	1	39	-	-	62	24	-	A	-17
Total Destruction: Capture	6	3	59	-	-	83	20	-	-	-
