Name	startup_frames	active_frames	whiff_recovery_frames	hit_frame_advantage	crouching_hit_frame_advantage	damage	stun_damage	guard_type	parry	block_frame_advantage
Close LP	4	4	4	3	3	5	3	-	A	3
Far LP	4	4	3	4	4	3	3	-	A	4
Close MP	5	5	8	6	7	12	7	-	H	5
Far MP	7	3	12	2	3	10	9	-	H	1
Close HP	6	7	8	3	5	21	9	-	A	1
Far HP	10	5	18	-	2	19	7	-	H	-2
Close LK	2	5	7	-	-	6	5	-	A	-
Far LK	2	5	4	2	2	5	3	-	A	2
Close MK	4	6	11	3	5	16	9	-	H	1
Far MK	8	5	14	-2	-1	14	7	-	H	-3
Close HK	7	7	13	5	7	23	15	-	H	3
Far HK	10	3	23	-7	-5	23	11	-	H	-9
Aiguille	18	3	20	-6	-5	14	3	-	H	-7
Crouch LP	5	2	7	2	2	3	3	-	A	2
Crouch MP	5	5	11	-1	-	9	5	-	A	-2
Crouch HP	8	6	18	D	D	17	9	-	A	-5
Crouch LK	3	4	7	0	0	5	3	-	L	0
Crouch MK	8	5	18	-8	-7	10	3	-	L	-9
Crouch HK	9	7	21	D	D	17	3	-	L	-11
Jump LP	4	20	-	-	-	7	7	-	H	-
Jump MP	5	14	-	-	-	12	11	-	H	-
Jump HP	9	5	-	-	-	22	15	-	H	-
Jump LK	4	14	-	-	-	8	5	-	H	-
Jump MK	6	4	-	-	-	16	9	-	H	-
Jump HK	10	4	-	-	-	21	13	-	H	-
Crazed Waltz	2	1	21	D	D	17	12	-	-	-
Contour of Disturbed Sleep	2	1	21	D	D	23	4	-	-	-
Vague Temptation	15	10	5	-	-	7	3	-	H	-
Crossed Arms	-	-	131	-	-	-	-	-	-	-
Light of Virtue - Haute	9	-	22	-	-	10	3	-	H	5
Light of Virtue - Basse	11	-	26	-	-	10	3	-	H	1
Rising Rage Flash	3	3	32	-	-	21	9	-	A	-17
Cold Blue Kick	17	10	10	-	-	21	7	-	H	-4
Light of Justice	2	-	N/A	-	-	52	14	-	H	3
Supreme Rising Rage Flash	1	16	53	-	-	61	14	-	A	-29
Blue Nocturne	1	21	27	-	-	75	14	-	-	-
