Name	startup_frames	active_frames	whiff_recovery_frames	hit_frame_advantage	crouching_hit_frame_advantage	damage	stun_damage	guard_type	parry	block_frame_advantage
Close LP	2	1	2	9	9	3	0	-	A	9
Far LP	3	1	2	9	9	3	0	-	A	9
Close MP	3	2	4	4	4	7	0	-	H	4
Far MP	3	3	2	15	16	7	0	-	H	14
Close HP	6	4	1	19	20	13	0	-	H	18
Far HP	6	2	4	16	17	10	0	-	H	15
Stand LK	3	2	1	9	9	5	0	-	A	9
Close MK	5	9	1	D	D	5	0	-	H	15
Far MK	6	2	7	6	7	7	0	-	H	5
Stand HK	8	6	5	D	D	8	0	-	H	7
Senpuukyaku	13	9	8	-3	-2	14	0	-	H	-4
Dakai	9	3	8	D	D	10	0	-	H	6
Crouch LP	2	2	1	14	15	3	0	-	A	13
Crouch MP	3	2	1	13	14	7	0	-	A	12
Crouch HP	3	3	1	13	14	14	0	-	A	12
Crouch LK	2	2	1	14	15	3	0	-	L	13
Crouch MK	3	2	8	-	9	5	0	-	L	7
Crouch HK	8	2	9	D	D	8	0	-	L	5
Jump LP	2	33	-	-	-	7	0	-	H	-
Jump MP	3	6	-	-	-	14	0	-	H	-
Jump HP (Neutral)	8	5	-	-	-	21	0	-	H	-
Jump HP	5	4	-	-	-	17	0	-	H	-
Jump LK	4	12	-	-	-	7	0	-	H	-
Jump MK	6	7	-	-	-	12	0	-	H	-
Jump HK	5	5	-	-	-	16	0	-	H	-
Raigeki Shuu	6	-	-	-	-	10	0	-	H	-
Hizageri	2	1	21	D	D	35	17	-	-	-
Monkey Flip	2	1	21	D	D	21	8	-	-	-
Gekihou Sui	13	9	8	-	-	7	0	-	H	-
Tetsu Zankou	7	9	8	-	-	13	0	-	A	5
Zesshou Hohou	7	15	7	-	-	13	0	-	A	-6~+8
Nishou Kyaku	6	4	20	-	-	13	0	-	A	-11
Kobokushi	10	6	1	-	-	21	0	-	A	13
Zenpou Tenshin	5	2	26	-	-	-	-	-	-	-
