Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Gauge Needed	Blocked Damage	gagueData_Move
Taunt	HP+HK	5	0	No	No	No	19	1	33	?	?	?	HL	HL	4(6)	?	?	8(4+4)	-	-	-	-	-	-
Far Jab	LP	15(3 life points)	3	Yes	Yes	Yes	3	2	6	+3	+3	+3	HL	HL	0	1	2	4	-	-	-	-	-	-
Far Strong	MP	60(10 life points)	9	No	Yes	Yes	3	2	10	+1	+2	+3	HL	H	2	6	11	4	-	-	-	-	-	-
Far Fierce	HP	140(24 life points)	13	No	No	Yes	7	3	17	-1	+1	+3	HL	H	3	10	19	4	-	-	-	-	-	-
Short	LK	35(5 life points)	3	No	Yes	Yes	5	2	8	+2	+2	+2	HL	HL	0	1	2	4	-	-	-	-	-	-
Forward	MK	80(14 life points)	11	No	No	No	5	3	13	0	+2	+2	HL	H	2	6	11	4	-	-	-	-	-	-
Roundhouse	HK	120(21 life points)	13	No	Yes	Yes	5	3	12	+4	+6	+8	HL	H	3	10	19	4	-	-	-	-	-	-
Jump Jab	(Air) LP	40(7 life points)	9	No	No	No	3	4	-	+1～+7	+1～+7	+6～+7	H	H	0	1	2	4	-	-	-	-	-	-
Jump Strong	(Air) MP	70(12 life points)	13	No	No	No	4	4(5 if neutral jump)	-	+3～+10	+3～+10	+9～+10	H	H	2	6	11	4	-	-	-	-	-	-
Neutral Jump Fierce	(Air) HP	120(21 life points)	15	No	No	No	7	3	-	0～+13	0～+13	+8～+13	H	H	3	10	19	4	-	-	-	-	-	-
Jump Short	(Air) LK	40(7 life points)	5	No	No	No	3	17	-	-2～+7	-2～+7	+4～+7	H	H	0	1	2	4	-	-	-	-	-	-
Jump Forward	(Air) MK	60(10 life points)	7	No	No	No	4	13	-	-2～+10	0～+10	+6～+10	H	H	2	6	11	4	-	-	-	-	-	-
Jump Roundhouse	(Air) HK	90(16 life points)	9	No	No	No	11(10 if neutral jump)	4	-	+2～+13	+2～+13	+6～+13	H	H	3	10	19	4	-	-	-	-	-	-
Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	10	5	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-
Liver Crusher	LP+LK	160(40x6)(19 life points)	12(3x6)	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	12(6x2)	-	24	F.LP / F.MP / F.HK / S.MK / F.MK	32 / 32 / 31 / 28 / 26	-	-	-
Dynamite Throw	F/B+LP+LK	120(21 life points)	9	-	-	-	2	1	21	-	-	-	F/B+LP+LK	-	0	7 (for the player who blocked)	7	-	24	F.LP / F.MP / F.HK / S.MK / F.MK	32 / 32 / 31 / 28 / 26	-	-	-
Crouch Jab	D+LP	15(3 life points)	3	Yes	Yes	Yes	3	1	9	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-
Crouch Strong	D+MP	70(12 life points)	7	No	Yes	Yes	4	2	9	+2	+3	+4	HL	HL	2	6	11	4	-	-	-	-	-	-
Crouch Fierce	D+HP	130(23 life points)	13	No	Yes	Yes	7	4	13	0	+2	+2	HL	HL	3	10	19	4	-	-	-	-	-	-
Crouch Short	D+LK	30(5 life points)	3	Yes	Yes	Yes	4	1	10	0	0	0	L	L	0	1	2	4	-	-	-	-	-	-
Crouch Forward	D+MK	60(10 life points)	3	No	Yes	Yes	9	3	22	-12	Down	Down	L	L	2	6	11	4	-	-	-	-	-	-
Crouch Roundhouse	D+HK	130(17 life points)	13	No	No	No	15	3	21	+1	Down	Down	L	L	3	10	19	4	-	-	-	-	-	-
Slipping Jab	F + LP	25(4 life points)	3	Yes	No	No	4	2	8	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-
Stomach Blow	F + MP	80(14 life points)	5	No	No	No	8	5	10	+1	0	-1	HL	H	2	6	11	4	-	-	-	-	-	-
Step Straight	F + HP	140(24 life points)	13	No	No	Yes	15	5	16	+2	0	-2	HL	H	3	10	19	4	-	-	-	-	-	-
Lever Blow	F+MK	100(17 life points)	9	No	Yes	Yes	5	2	9	+2	+3	+3	HL	H	2	6	11	4	-	-	-	-	-	-
Dart Shot	F+HK	110(19 life points)	7	No	No	No	12	4	16	-2	0	+2	H	HL	3	10	19	4	-	-	-	-	-	-
Target Combo	Crouch LK -> Close MK	30+40	3+4	Yes/No	Yes/Yes	Yes/Yes	4	-	-	-2	0	+2	L/HL	H/L	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-
Target Combo	Forward LP -> Close MP	25+30	3+3	Yes/No	Yes/Yes	Yes/Yes	4	-	-	0	+1	+2	HL/HL	HL/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-
