Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Gauge Needed	Blocked Damage	gagueData_Move
Taunt	HP+HK	10	3	No	No	No	79	3	-	?	?	?	HL	HL	6(7)	?	?	8(4+4)	-	-	-	-	-	-
Far Jab	LP	30(5 life points)	3	Yes	Yes	Yes	4	6	6	+2	+2	+2	HL	HL	0	1	2	4	-	-	-	-	-	-
Far Strong	MP	80(14 life points)	9	No	Yes	Yes	8	11	4	+6	+7	+8	HL	H	2	6	11	4	-	-	-	-	-	-
Far Fierce	HP	120(21 life points)	15	No	Yes	Yes	8	2	22	-5	-3	-1	HL	H	3	10	19	4	-	-	-	-	-	-
Short	LK	40(7 life points)	3	No	Yes	Yes	4	5	12	-2	-2	-2	HL	HL	0	1	2	4	-	-	-	-	-	-
Forward	MK	90(16 life points)	7	No	No	No	7	5	13	-2	-1	0	HL	H	2	6	11	4	-	-	-	-	-	-
Roundhouse	HK	130(21 life points)	7	No	No	No	11	9	13	0	+2	+4	HL	H	3	10	19	4	-	-	-	-	-	-
Jump Jab	(Air) LP	50(8 life points)	7	No	No	No	4	21	-	-9～+7	-9～+7	+2～+7	H	H	0	1	2	4	-	-	-	-	-	-
Neutral Jump Jab	(Air) LP	50(8 life points)	7	No	No	No	9	17	-	-2～+7	-2～+7	+5～+7	H	H	0	1	2	4	-	-	-	-	-	-
Jump Strong	(Air) MP	80(12 life points)	11	No	No	No	11	24	-	-3～+10	-3～+10	+4～+10	H	H	2	6	11	4	-	-	-	-	-	-
Neutral Jump Strong	(Air) MP	80(14 life points)	11	No	No	No	11	10	-	+2～+10	+2～+10	+8～+10	H	H	2	6	11	4	-	-	-	-	-	-
Jump Fierce	(Air) HP	130(150)(26 life points)	15	No	No	No	10	2	-	+1～+13	+1～+13	+7～+13	H	H	3	10	19	4	-	-	-	-	-	-
Neutral Jump Fierce	(Air) HP	130(23 life points)	15	No	No	No	13	2	-	+7～+13	+7～+13	+12～+13	H	H	3	10	19	4	-	-	-	-	-	-
Jump Short	(Air) LK	60(10 life points)	7	No	No	No	2	14	-	-4～+7/-5～+7	-4～+7/-5～+7	+3～+7/+4～+7	H	H	0	1	2	4	-	-	-	-	-	-
Jump Forward	(Air) MK	90(16 life points)	9	No	No	No	7	13	-	-4～+10/-5～+10	-4～+10/-5～+10	+3～+10/+5～+10	H	H	2	6	11	4	-	-	-	-	-	-
Jump Roundhouse	(Air) HK	130(23 life points)	11	No	No	No	6	6	-	+4～+13	+4～+13	+11～+13	H	H	3	10	19	4	-	-	-	-	-	-
Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	10	5	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-
"Hikiyose Zutsuki ""Tacchuu"""	LP+LK	90(16 life points)	17	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	8	-	20	C.HK / S.LK / S.MK / F.LK / F.MP / C.MP / F.MK	33 / 27 / 27 / 24 / 24 / 23 / 22	-	-	-
