Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Gauge Needed	Blocked Damage	gagueData_Move
Taunt	HP+HK	10 x hold(2)	0	No	No	No	21	6	23	?	?	?	HL	HL	4(6)	?	?	8(4+4)	-	-	-	-	-	-
Far Jab	LP	30(5 life points)	3	Yes	Yes	Yes	5	1	8	+2	+2	+2	HL	HL	0	1	2	4	-	-	-	-	-	-
Far Strong	MP	50(8 life points)	11	No	No	No	8	1	12	0	+1	+2	HL	H	2	6	11	4	-	-	-	-	-	-
Far Fierce	HP	100(17 life points)	11	No	No	No	15	11	28	-13	-11	-9	HL	H	3	10	19	4	-	-	-	-	-	-
Short	LK	40(7 life points)	5	Yes	Yes	Yes	4	1	9	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-
Forward	MK	70(12 life points)	3	No	No	No	9	1	14	-1	0	+1	HL	H	2	6	11	4	-	-	-	-	-	-
Roundhouse	HK	110(19 life points)	13	No	No	No	18	1	24	-8	-6	-4	HL	H	3	10	19	4	-	-	-	-	-	-
Jump Jab	(Air) LP	40(30 if neutral jump)(7/5 life points)	7	No	No	No	4(5 if neutral jump)	14(6 if neutral jump)	-	-12～+7/+4～+7	-12～+7/+4～+7	-1～+7/+7	H	H	0	1	2	4	-	-	-	-	-	-
Jump Strong	(Air) MP	80(70 if neutral jump)(14/12 life points)	11	No	No	No	9(8 if neutral jump)	1	-	-8～+10/+4～+10	-8～+10/+4～+10	-6～+10/+10	H	H	2	6	11	4	-	-	-	-	-	-
Jump Fierce	(Air) HP	100(17 life points)	15	No	No	No	13	2	-	+1～+13/+3～+13	+1～+13/+3～+13	+8～+13/+10～+13	H	H	3	10	19	4	-	-	-	-	-	-
Jump Short	(Air) LK	30(5 life points)	5	No	No	No	2	15	-	-6～+7/-11～+7	-6～+7/-11～+7	0～+7	H	H	0	1	2	4	-	-	-	-	-	-
Jump Forward	(Air) MK	90(12 life points)	9	No	No	No	10	4	-	+4～+10	+4～+10	+10	H	H	2	6	11	4	-	-	-	-	-	-
Jump Roundhouse	(Air) HK	120(21 life points)	13	No	No	No	15	4	-	+2～+13	+2～+13	+9～+13	H	H	3	10	19	4	-	-	-	-	-	-
Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	10	5	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-
Shoulder Attack	(F)+LP+LK	120(21 life points)	13	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	8	-	26	B.HK / S.MP / B.MK / S.MK	34 / 32 / 30 / 30	-	-	-
Frankensteiner	B+LP+LK	100(17 life points)	19	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	8	-	26	B.HK / S.MP / B.MK / S.MK	34 / 32 / 30 / 30	-	-	-
German Suplex	B+LP+LK on backturned opponent	200(23 life points)	11	-	-	-	2	1	21	-	-	-	B+LP+LK on backturned opponent	-	0	7 (for the player who blocked)	8	-	26	B.HK / S.MP / B.MK / S.MK	34 / 32 / 30 / 30	-	-	-
Back Jab	B+LP	50(8 life points)	5	No	Yes	Yes	3	1	6	+3	+3	+3	HL	HL	0	1	2	4	-	-	-	-	-	-
