Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Throw Range (Front)	Throw Range (Up & Down)	Gauge Needed	Blocked Damage	gagueData_Move
Far Jab	LP	30(5 life points)	3	No	Yes	Yes	4	1	10	0	0	0	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-
Far Strong	MP	80(14 life points)	11	No	No	No	8	4	12	-2	-1	0	HL	H	1	5	9	4	-	-	-	-	-	-	-	-
Fierce	HP	140(60+80)(22 life points)	14(7+7)	No	No	No	17	1	19	-5	-3	-1	H	H	2	6(1+4+1)	17	8(4+4)	-	-	-	-	-	-	-	-
Close Jab	(Close to opponent) LP	35(6 life points)	3	No	Yes	Yes	2	1	5	+5	+5	+5	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-
Close Strong	(Close to opponent) MP	70(40+30)(14 life points)	8(4+4)	Yes	Yes/Yes	Yes/Yes	5	2	16	-4	0	0	HL	H	1	6(5+1)	11	8(4+4)	-	-	-	-	-	-	-	-
Far Short	LK	35(6 life points)	3	No	Yes	Yes	3	1	8	+2	+2	+2	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-
Far Forward	MK	100(17 life points)	13	No	No	No	8	6	12	-5	-4	-3	HL	H	1	5	9	4	-	-	-	-	-	-	-	-
Roundhouse	HK	120(21 life points)	19	No	No	No	7	4	17	-5	-3	-1	HL	H	2	7	15	4	-	-	-	-	-	-	-	-
Close Short	(Close to opponent) LK	40(7 life points)	3	No	Yes	Yes	2	2	4	+4	+4	+4	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-
Close Forward	(Close to opponent) MK	110(19 life points)	11	No	Yes	Yes	4	3	15	-5	-4	-3	HL	H	1	5	9	4	-	-	-	-	-	-	-	-
Jump Jab	(Air) LP	60(10 life points)	7	No	No	No	7	17	-	-	-	-	H	H	0	1	2	4	-	-	-	-	-	-	-	-
