Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	Gauge Needed	gagueData_Move
Taunt	+	-	-	No	No	No	-	65	-	?	?	?	HL	HL	4(6)	?	?	8(4+4)	-	-	-	-	-	-
Far Jab	-	30(3 life points)	3	Yes	Yes	Yes	4	3	4	+4	+4	+4	HL	HL	0	1	2	4	-	-	-	-	-	-
Far Strong	-	100(17 life points)	11	No	Yes	Yes	5	4	9	+4	+5	+6	HL	H	2	6	11	4	-	-	-	-	-	-
Far Fierce	-	130(23 life points)	13	No	No	No	11	3	18	-3	-1	+1	HL	H	3	10	19	4	-	-	-	-	-	-
Close Jab	(Close to opponent)	30(5 life points)	3	No	Yes	Yes	3	3	5	+3	+3	+3	HL	HL	0	1	2	4	-	-	-	-	-	-
Close Strong	(Close to opponent)	100(19 life points)	7	No	Yes	Yes	5	4	10	+1	+2	+3	HL	H	2	6	11	4	-	-	-	-	-	-
Close Fierce	(Close to opponent)	130(23 life points)	15	No	Yes	Yes	4	4	17	-4	-2	0	HL	H	3	10	19	4	-	-	-	-	-	-
Short	-	40(7 life points)	3	No	No	No	4	4	7	+2	+2	+2	HL	HL	0	1	2	4	-	-	-	-	-	-
Forward	-	90(16 life points)	9	No	No	No	6	4	15	-5	-4	-3	HL	H	2	6	11	4	-	-	-	-	-	-
Roundhouse	-	140(24 life points)	13	No	No	No	8	5	18	-5	-3	-1	HL	H	3	10	19	4	-	-	-	-	-	-
Close Forward	(Close to opponent)	110(19 life points)	11	No	Yes	Yes	4	5	11	+2	+4	+6	HL	H	2	6	11	4	-	-	-	-	-	-
Jump Jab	(Air)	50(60 if neutral jump)(8 life points)	7	No	No	No	4	Until landing	-	-5～+7	-5～+7	+4～+7	H	H	0	1	2	4	-	-	-	-	-	-
Jump Strong	(Air)	100(2 hits)(16/17 life points)	14(11 if neutral jump)	No	No	No	4(5 if neutral jump)	2(5 if neutral jump)	-	+4～+10/0～+10	+4～+10/0～+10	+10/+8～+10	H	H	2	5(6 if neutral jump)	11	4	-	-	-	-	-	-
Jump Fierce	(Air)	140(24 life points)	15	No	No	No	6	4	-	+3～+13	+3～+13	+10～+13	H	H	3	10	19	4	-	-	-	-	-	-
_Neutral Jump Fierce	(Air)	140(24 life points)	15	No	No	No	6	3	-	+6～+13	+6～+13	+12～+13	H	H	3	10	19	4	-	-	-	-	-	-
Jump Short	(Air)	50(8 life points)	5(7 if neutral jump)	No	No	No	4	19	-	-6～+7	-6～+7	0～+7	H	H	0	1	2	4	-	-	-	-	-	-
Jump Forward	(Air)	90(16 life points)	9	No	No	No	5	6	-	-2～+10	-2～+10	+6～+10	H	H	2	6	11	4	-	-	-	-	-	-
Neutral Jump Forward	(Air)	90(16 life points)	9	No	No	No	5	6	-	-2～+10	-2～+10	+6～+10	H	H	2	6	11	4	-	-	-	-	-	-
Jump Roundhouse	(Air)	120(21 life points)	13	No	No	No	6	4	-	+2～+13	+2～+13	+8～+13	H	H	3	10	19	4	-	-	-	-	-	-
Neutral Jump Roundhouse	(Air)	130(23 life points)	13	No	No	No	6	5	-	+2～+13	+2～+13	+10～+13	H	H	3	10	19	4	-	-	-	-	-	-
Universal Overhead	+	40(7 life points)	3	No	No	No	15	9	6	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-
Seoi Nage	+	120(21 life points)	9	-	-	-	2	1	21	-	-	-	(F)+LP+LK	-	0	7 (for the player who blocked)	12(6x2)	-	24	F.MP / C.MK / C.HK	40 / 37 / 37	-	-	-
Tomoe Nage	++	110(19 life points)	15	-	-	-	2	1	21	-	-	-	B+LP+LK	-	0	7 (for the player who blocked)	7	-	24	F.MP / C.MK / C.HK	40 / 37 / 37	-	-	-
Crouch Jab	+	15(3 life points)	3	Yes	Yes	Yes	4	3	5	+3	+3	+3	HL	HL	0	1	2	4	-	-	-	-	-	-
Crouch Strong	+	90(16 life points)	7	No	Yes	Yes	5	4	7	+3	+4	+5	HL	HL	2	6	11	4	-	-	-	-	-	-
Crouch Fierce	+	130(23 life points)	13	No	Yes	Yes	5	5	19	-8	-6	-4	HL	HL	3	6	14	4	-	-	-	-	-	-
Crouch Short	+	20(3 life points)	3	Yes	Yes	Yes	5	3	7	+1	+1	+1	L	L	0	1	2	4	-	-	-	-	-	-
