Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Gauge Needed	Blocked Damage	gagueData_Move
Taunt	HP+HK	-	-	No	No	No	79	150	71	?	?	?	HL	HL	2(3)	?	?	4	-	-	-	-	-	-
Far Jab	LP	30(5 life points)	3	Yes	Yes	Yes	3	3	7	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-
Far Strong	MP	70(11 life points)	11	No	Yes	Yes	9	4	12	-2	-1	0	HL	H	2	6	11	4	-	-	-	-	-	-
Far Fierce	HP	110(19 life points)	15	No	No	No	12	4	17	-3	-1	+1	HL	H	3	10	19	4	-	-	-	-	-	-
Close Strong	(Close to opponent) MP	65(12 life points)	9	No	Yes	Yes	6	4	12	-2	+4	+5	HL	H	2	6	11	4	-	-	-	-	-	-
Short	LK	35(7 life points)	3	No	No	No	3	2	10	-1	-1	-1	HL	HL	0	1	2	4	-	-	-	-	-	-
Forward	MK	70(12 life points)	11	No	No	No	6	6	13	-6	-2	0	HL	H	2	4	8	4	-	-	-	-	-	-
Roundhouse	HK	100(17 life points)	13	No	No	No	17	3	25	-11	-1	+1	HL	H	3	10	19	4	-	-	-	-	-	-
Jump Jab	(Air) LP	50(60 if neutral jump)(5/7 life points)	7	No	No	No	4(5 if neutral jump)	Until landing	-	-	-	-	H	H	0	1	2	4	-	-	-	-	-	-
Jump Strong	(Air) MP	100(14 life points)	11	No	No	No	5(6 if neutral jump)	5	-	-	-	-	H	H	2	4	8	4	-	-	-	-	-	-
Jump Fierce	(Air) HP	130(17 life points)	15	No	No	No	6	4	-	-	-	-	H	H	3	6	14	4	-	-	-	-	-	-
Neutral Jump Fierce	(Air) HP	130(17 life points)	15	No	No	No	7	3	-	-	-	-	H	H	3	6	14	4	-	-	-	-	-	-
Jump Short	(Air) LK	50(7 life points)	5(7 if neutral jump)	No	No	No	4(5 if neutral jump)	10(19 if neutral jump)	-	-	-	-	H	H	0	1	2	4	-	-	-	-	-	-
Jump Forward	(Air) MK	90(12 life points)	9	No	No	No	5	6	-	-	-	-	H	H	2	4	8	4	-	-	-	-	-	-
Neutral Jump Forward	(Air) MK	90(12 life points)	9	No	No	No	5	6	-	-	-	-	H	H	2	4	8	4	-	-	-	-	-	-
Jump Roundhouse	(Air) HK	125(21 life points)	13	No	No	No	6	4	-	-	-	-	H	H	3	6	14	4	-	-	-	-	-	-
Neutral Jump Roundhouse	(Air) HK	130(21 life points)	13	No	No	No	7	5	-	-	-	-	H	H	3	6	14	4	-	-	-	-	-	-
Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	8	7	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-
H.U.G.	LP+LK	100(20x6)(21 life points)	18(3x6)	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	6	-	22	Far S.MP / Close S.MP / S.HP	40 / 29 / 28	-	-	-
F.L.G.	F+LP+LK	120(15 life points)	11	-	-	-	2	1	21	-	-	-	F+LP+LK	-	0	7 (for the player who blocked)	7	-	22	Far S.MP / Close S.MP / S.HP	40 / 29 / 28	-	-	-
T.R.W.	B+LP+LK	120(14 life points)	11	-	-	-	2	1	21	-	-	-	B+LP+LK	-	0	7 (for the player who blocked)	7	-	22	Far S.MP / Close S.MP / S.HP	40 / 29 / 28	-	-	-
