Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	gagueData_Move	Gauge Needed	Blocked Damage
Taunt	HP+HK	5	0	No	No	No	6	4	-	+3～+10	+3～+10	+10	H	H	2	6	11	4	-	-	-	-	-	-
Jump Fierce	(Air) HP	130(11 life points)	11	No	No	No	4	10	-	-7～+7	-7～+7	+2～+7	H	H	0	1	2	4	-	-	-	-	-	-
Jump Forward	(Air) MK	90(16 life points)	9	No	No	No	10	3	-	+2～+13	+2～+13	+9～+13	H	H	3	10	19	4	-	-	-	-	-	-
Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	10	5	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-
Destroy Claw	LP+LK	100(20x6)(15 life points)	18(3x6)	-	-	-	4	2	7	+3	+3	+3	HL	HL	0	1	2	4	26	F.MP / C.HP	30 / 28	-	-	-
Crouch Strong	D+MP	60(10 life points)	3	No	Yes	Yes	7	3	11	0	+1	+2	L	L	2	6	11	4	-	-	-	-	-	-
Crouch Roundhouse	D+HK	100(17 life points)	3	No	No	No	12	3	21	-13	Down	Down	L	L	3	10	19	4	-	-	-	-	-	-
Metallic Sphere (EX)	F+MP	80(14 life points)	9	No	No	No	13	1	55	-16	-15	-15	HLx2	Hx2	-	-	-	8(4+4)	-	-	-	Metallic Sphere (EX)	-	-
Chariot Tackle (EX)	Charge B,F+KK	170(90+80)(29 life points)	18(9+9)	-	-	Yes/No	6・30	24・10	19/28 Guard/39 Far	-9	+2	+4	HLx2	Hx2	-	-	-	8(4+4)	-	-	-	Chariot Tackle (EX)	40	11(6+5)
Dangerous Headbutt (EX)	Charge D,U+PP	160(80+80)(27 life points)	22(11+11)	-	-	No	9・11	2・2	12	+2	Down	Down	HL	H	-	-	-	8(4+4)	-	-	-	Dangerous Headbutt (EX)	40	20(10+10)
Violence Kneedrop (EX)	Charge D,U+KK	140(30+110)(23 life points)	18(5+13)	-	-	No/No	26・32	5・2	7	+8/-10～-20	-7	-5	HLx2	Hx2	-	-	-	8(4+4)	-	-	-	Violence Kneedrop (EX)	40	18(4+14)
