description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move
Comments here	Far Jab	LP	20(3 life points)	3	Yes	Yes	Yes	4	3	4	+4	+4	+4	HL	HL	0	1	2	4	-	-	-	-	-
Comments here	Far Strong	MP	105(18 life points)	11	No	Yes	Yes	5	4	9	+4	+5	+5	HL	H	2	4	8	4	-	-	-	-	-
Comments here	Far Fierce	HP	140(24 life points)	15	No	No	No	8	5	22	-6	-4	-2	HL	H	3	6	14	4	-	-	-	-	-
Comments here	Close Jab	(Close to opponent)LP	30(5 life points)	3	No	Yes	Yes	3	3	5	+3	+3	+3	HL	HL	0	1	2	4	-	-	-	-	-
Comments here	Close Strong	(Close to opponent)MP	115(20 life points)	7	No	Yes	Yes	5	4	10	+1	+2	+3	HL	H	2	4	8	4	-	-	-	-	-
Comments here	Close Fierce	(Close to opponent) HP	135(24 life points)	15	No	Yes	Yes	4	4	17	-4	-2	0	HL	H	3	6	14	4	-	-	-	-	-
Comments here	Short	LK	40(7 life points)	3	No	No	No	4	4	7	+2	+2	+2	HL	HL	0	1	2	4	-	-	-	-	-
Comments here	Far Forward	MK	95(16 life points)	7	No	No	No	5	5	17	-7	-6	-5	HL	H	2	4	8	4	-	-	-	-	-
Comments here	Far Roundhouse	HK	145(25 life points)	11	No	No	No	9	5	20	-7	-5	-3	HL	H	3	6	14	4	-	-	-	-	-
Comments here	Close Forward	(Close to opponent) MK	115(20 life points)	9	No	Yes	Yes	4	5	11	+2	+4	+6	HL	H	2	4	8	4	-	-	-	-	-
Comments here	Close Roundhouse	(Close to opponent) HK	120+80(40)(33 life points)	13+11(7)	No	No	No	5/7	3/5	19	-6	-4	-2	H/L	H/L	4	8	16	8(4+4)	-	-	-	-	-
Comments here	Jump Jab	(Air)LP	40(7 life points)(50 if neutral jump)	7	No	No	No	4	Until landing	-	-5～+7	-5～+7	+4～+7	H	H	0	1	2	4	-	-	-	-	-
Comments here	Jump Strong	(Air)MP	90(16 life points)	9	No	No	No	5	5	-	-2～+10	-2～+10	+7～+10	H	H	2	6	11	4	-	-	-	-	-
Comments here	Jump Fierce	(Air) HP	130(23 life points)	13	No	No	No	6	4	-	+3～+13	+3～+13	+10～+13	H	H	3	10	19	4	-	-	-	-	-
Comments here	Neutral Jump Fierce	(Air) HP	130(23 life points)	13	No	No	No	6	3	-	+6～+13	+6～+13	+12～+13	H	H	3	10	19	4	-	-	-	-	-
Comments here	Jump Short	(Air) LK	40(7 life points)	5	No	No	No	4	10(19 if neutral jump)	-	-6～+7	-6～+7	0～+7	H	H	0	1	2	4	-	-	-	-	-
Comments here	Jump Forward	(Air) MK	80(14 life points)	7	No	No	No	5	6	-	-2～+10	-2～+10	+6～+10	H	H	2	6	11	4	-	-	-	-	-
Comments here	Neutral Jump Forward	(Air) MK	80(14 life points)	7	No	No	No	5	6	-	-2～+10	-2～+10	+6～+10	H	H	2	6	11	4	-	-	-	-	-
Comments here	Jump Roundhouse	(Air) HK	120(21 life points)	11	No	No	No	6	4	-	+2～+13	+2～+13	+8～+13	H	H	3	10	19	4	-	-	-	-	-
Comments here	Neutral Jump Roundhouse	(Air) HK	120(21 life points)	11	No	No	No	6	5	-	+2～+13	+2～+13	+10～+13	H	H	3	10	19	4	-	-	-	-	-
Comments here	Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	8	7	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-
Comments here	Seoi Nage	LP+LK or F+LP+LK	110(19 life points)	9	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	7	-	24	F+MP/C+MK/C+HK	44/37/37	-	-
Comments here	Tomoe Nage	B+LP+LK	110(19 life points)	15	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	7	-	24	F+MP/C+MK/C+HK	44/37/37	-	-
Comments here	Crouch Jab	D+LP	20(3 life points)	3	Yes	Yes	Yes	4	3	4	+4	+4	+4	HL	HL	0	1	2	4	-	-	-	-	-
Comments here	Crouch Strong	D+MP	95(16 lifepoints)	7	No	Yes	Yes	5	4	7	+3	+4	+5	HL	HL	2	4	8	4	-	-	-	-	-
Comments here	Crouch Fierce	D+HP	135(24 life points)	11	No	Yes	Yes	5	5	19	-8	-6	-4	HL	HL	3	6	14	4	-	-	-	-	-
Comments here	Crouch Short	D+LK	20(3 life points)	3	Yes	Yes	Yes	5	3	7	+1	+1	+1	L	L	0	1	2	4	-	-	-	-	-
Comments here	Crouch Forward	D+MK	90(16 life points)	3	No	Yes	Yes	6	5	16	-3	-2	-1	L	L	2	4	8	4	-	-	-	-	-
Comments here	Crouch Roundhouse	D+HK	135(24 life points)	3	No	No	No	7	5	25	-15	Down	Down	L	L	3	6	14	4	-	-	-	-	-
"This move is crucial for advance Akuma gameplay. First of all, this is the common Kara-Demon move, also this is the move that you can become unthrowable by normal grabs, also Gigas Breaker (even caught from behind)."	Zugai Hasatsu	F+MP	40+50(18 life points)	9+7	No	No	No	14	1	22	-1	+1	+3	H/H	H/H	2+0	2+1	7+2	4+4	-	-	-	-	-
Comments here	Tenma Kuujin Kyaku	(Air) D+MK	90(16 life points)	11	No	No	No	8	Until landing	3	-	-	-	H	H	2	4	8	4	-	-	-	-	-
Comments here	Target Combo	Closemp -> Close HP	115+80	7+3	No/No	Yes/No	Yes/No	5	-	-	-12	-10	-8	HL/HL	H/H	-	4+1	8+1	4+4	-	-	-	-	-
Comments here	Gou Hadouken	QCF+P	60(17 life points)	3	-	-	Yes	7	1	38	-11	-10	-10	HL	H	0	1	1	4	-	-	-	4	-
Comments here	Zankuu Hadouken	(Air) QCF+P	60(10 life points)	3	-	-	Yes	11	1	7	-	-	-	HL	H	0	1	1	4	-	-	-	4	-
-	Shakunetsu Hadouken (Jab)	HCB+LP	50(8 life points)	3	-	-	Yes	13	1	42	-23	Down	Down	HL	H	0	1	1	4	-	-	-	3	Shakunetsu Hadouken (Jab)
-	Shakunetsu Hadouken (Strong)	HCB+MP	100(50+50)(16 life points)	3+3	-	-	Yes	17	1	43	-18	Down	Down	HL/HL	H/H	0	2(1+1)	2(1+1)	8(4+4)	-	-	-	3+3	Shakunetsu Hadouken (Strong)
-	Shakunetsu Hadouken (Strong)	HCB+HP	150(50+50+50)(24 life points)	3+3+3	-	-	Yes	17	1	43	-18	Down	Down	HL/HL	H/H	0	3(1+1+1)	3(1+1+1)	12(4+4+4)	-	-	-	3+3+3	Shakunetsu Hadouken (Fierce)
-	Tatsumaki Zankuukyaku (Short)	QCB+LK	100(17 life points)	7	-	-	Yes	11・(14)	2・(2)	17	-12	Down	Down	HL	H	3	8	13	4	-	-	-	6	Tatsumaki Zankuukyaku (Short)
-	Tatsumaki Zankuukyaku (Forward)	QCB+MK	120(90+30)(21 life points)	10(7+3)	-	-	Yes/No	2・11・(14)・18・(21)	2・2・(2)・2・(2)	16	-8	Down	Down	HL	H	3	9(8+1)	15(13+2)	8(4+4)	-	-	-	15(11+2)	Tatsumaki Zankuukyaku (Forward)
-	Tatsumaki Zankuukyaku (Forward)	QCB+HK	150(90+30+30)(25 life points)	13(7+3+3)	-	-	Yes/No/No	2・11・(14)・18・(21)	2・2・(2)・2・(2)	16	-8	Down	Down	HL	H	3	10(8+1+1)	17(13+2+2)	12(4+4+4)	-	-	-	17(11+2+2)	Tatsumaki Zankuukyaku (Roundhouse)
-	Gou Shoryuken (Jab)	F, D, DF+LP	130(100(23 life points))	11(9)	-	-	Yes	3	14	26	-24	Down	Down	HL	HL	3	10	15	4	-	-	-	16(13)	Gou Shoryuken (Jab)
-	Gou Shoryuken (Strong)	F, D, DF+MP	150(100+50)(25 life points)	14(11+3)	-	-	Yes/No	2	2/5	41	-30	Down	Down	HL/HL	HL/HL	3	11(10+1)	17(15+2)	8(4+4)	-	-	-	19(13+6)	Gou Shoryuken (Strong)
-	Gou Shoryuken (Strong)	F, D, DF+HP	180(60x3)(29 life points)	15(11+3+3)	-	-	Yes/Yes/No	2	2/5	41	-30	Down	Down	HL/HL	HL/HL	3	12(10+1+1)	19(15+2+2)	12(4+4+4)	-	-	-	24(8x3)	Gou Shoryuken (Fierce)
Comments here	Hyakki Shuu	F, D, DF+K	-	-	-	-	No	-	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Hyakki Gouzan	During F, D, DF+K (No Input)	100 (17 life points)	3	-	-	No	41	15	13	-11	Down	Down	L	L	3	6	14	4	-	-	-	13	-
Comments here	Hyakki Goushou	During F, D, DF+K press P	130(23 life points)	13	-	-	No	10	3	17	-	Down	Down	H	H	3	6	14	4	-	-	-	16	-
Comments here	Hyakki Goujin	During F, D, DF+K press K	100(17 life points)	11	-	-	No	9	Until landing	3	-	-	-	HL	H	3	6	14	4	-	-	-	13	-
Comments here	Hyakki Gousai	During F, D, DF+K press LP+LK	110(19 life points)	15	-	-	No	3	2	17	-	Down	Down	Impossible	Impossible	0	-	7	-	-	-	-	-	-
