description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Juggle Value	Reset or Juggle	undefined	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	gagueData_Motion	gagueData_Damage	gagueData_Blocked Damage	gagueData_Stun Damage	gagueData_Super Cancel	gagueData_Juggle Value	gagueData_Reset or Juggle	Gauge Needed
Comments here	Taunt	HP+HK	-	-	-	-	-	-	-	-	-	64	-	-	-	-	-	-	4(6)	?	?	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Far Jab	LP	30(5 life points)	5	Yes	Yes	Yes	1	Reset	-	4	2	9	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Far Strong	MP	100(17 life points)	11	No	Yes	Yes	1	Reset	-	4	3	12	-1	0	+1	HL	H	2	5	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Far Fierce	HP	145(25 life points)	19	No	No	No	1	Juggle	-	14	4	16	-1	+1	+3	H	H	3	9	17	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Close Jab	(Close to opponent) LP	30(5 life points)	5	Yes	Yes	Yes	1	Reset	-	4	2	9	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Short	LK	40(7 life points)	3	No	No	No	1	Reset	-	5	3	10	0	0	0	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Forward	MK	100(17 life points)	9	No	No	No	1	Reset	-	11	3	14	-1	0	+1	HL	H	3	9	17	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Roundhouse	HK	150(26 life points)	21	No	No	No	1	Juggle	-	16	5	29	-13	0	+2	H	H	3	9	17	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Close Forward	Close MK	105(18 life points)	9	No	No	No	1	Reset	-	5	3	12	0	+1	+2	HL	H	2	5	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Jump Jab	(Air) LP	40(7 life points)	9	No	No	No	3	Reset	-	4	12	-	-8～+7	-8～+7	+4～+7	H	H	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Jump Strong	(Air) MP	80(14 life points)	13	No	No	No	3	Reset	-	5	3	-	+2～+10	+2～+10	+8～+10	H	H	2	5	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Jump Fierce	(Air) HP	140(80)(24 life points)	15	No	No	No	3	Reset	-	8	3	-	+2～+13	+2～+13	+10～+13	H	H	3	9	17	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Jump Short	(Air) LK	60(10 life points)	7	No	No	No	3	Reset	-	4	Until Landing	-	-8～+7	-8～+7	+4～+7	H	H	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Jump Forward	(Air) MK	90(16 life points)	11	No	No	No	3	Reset	-	9	3	-	-3～+10	0～+10	+7～+10	H	H	2	5	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Jump Roundhouse	(Air) HK	120(21 life points)	15	No	No	No	3	Reset	-	8	4	-	+2～+13	+2～+13	+9～+13	H	H	3	9	17	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	1	Reset	-	15	10	5	-5~+7	0~+8	+1~+9	HL	H	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Body Slam	(B+F)+LP+LK	120(24 life points)	17	-	-	-	-	-	-	2	1	21	-	-	-	(B+F)+LP+LK	-	0	7 (for the player who blocked)	8	-	30	C.LP/ F.HP / S.LK	46 / 46 / 38	-	-	-	-	-	-	-	-	-	-
Comments here	Crouch Jab	D+LP	30(5 life points)	5	Yes	Yes	Yes	1	Reset	-	4	2	9	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Crouch Strong	D+MP	90(16 life points)	7	No	No	No	1	Reset	-	7	2	13	0	+1	+2	HL	HL	2	5	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Crouch Fierce	D+HP	140(80+60)(23 life points)	8(3+5)	No	No	No	1/5	Juggle/Juggle	-	13	2,3	7	-9	Down	Down	HL	HL	3	10	18	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Crouch Short	D+LK	30(5 life points)	3	No	Yes	Yes	1	Reset	-	5	2	8	+2	+2	+2	L	L	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Crouch Forward	D+MK	70(12 life points)	3	No	No	No	1	Reset	-	8	3	12	-1	0	+1	L	L	2	5	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Crouch Roundhouse	D+HK	130(23 life points)	3	No	No	No	15	Juggle	-	11	2	29	-15	Down	Down	L	L	3	9	17	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Chop	F+MP	110(19 life points)	9	No	No	No	1	Reset	-	7	5	10	-2	-1	0	HL	H	2	5	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Lariat	F + HP	135(24 life points)	15	No	No	No	7	Reset	-	9	4	17	-1	+1	+3	HL/H/H	H/H/H	3	9	17	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Head Butt	B + HP	180(32 life points)	24	No	No	No	-	-	-	8	4	23	-11	+1	-	HL	-	3	9	11	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Sleeper Hold	B + HP in reversed opponent	240(40 life points)	24	No	No	No	-	-	-	8	4	23	-11	+4	-	HL	-	3	9	11	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Flying Cross Chop	Jump D + HP	120(21 life points)	11	No	No	No	3	Juggle	-	10	11	24	-10	-1	+1	HL	-	3	6	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Target Combo	Crouch LK -> Crouch MK	30+50	3+3	No/No	Yes/No	Yes/No	1/1	Reset/Reset	-	4	-	-	-1	0	+1	L/L	L/L	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Target Combo	Crouch LK -> Crouch HK	30+130	3+3	No/No	Yes/No	Yes/No	1/15	Reset/Juggle	-	4	-	-	-15	Down	Down	L/L	L/L	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
-	Flash Chop (Jab)	QCF+LP	120(21 life points)	7	-	-	No	15	Juggle	-	11	2	17	-2	0	0	HL	H	-	-	-	-	-	-	-	15	Air Knee Smash (Short)	F, D, DF+LK	120(21 life points)	-	15	No	-	-	-
-	Flash Chop (Strong)	QCF+MP	130(23 life points)	9	-	-	Yes	15	Juggle	-	15	3	19	-1	+14	+14	HL	H	-	-	-	-	-	-	-	16	Air Knee Smash (Forward)	F, D, DF+MK	135(24 life points)	-	15	No	-	-	-
-	Flash Chop (Fierce)	QCF+HP	140(24 life points)	15	-	-	Yes	15	Juggle	-	15	3	19	-1	+14	+14	HL	H	-	-	-	-	-	-	-	18	Air Knee Smash (Roundhouse)	F, D, DF+HK	150(26 life points)	-	15	No	-	-	-
-	Powerbomb (Jab)	HCB+LP	160(28 life points)	19	-	-	No	-	-	-	6	1	35	-	-	-	HL	-	2	-	20	-	-	-	-	-	Powerbomb (Jab)	-	-	-	-	-	-	-	-
-	Powerbomb (Strong)	HCB+MP	180(32 life points)	19	-	-	No	-	-	-	7	1	41	-	-	-	HL	-	2	-	20	-	-	-	-	-	Powerbomb (Strong)	-	-	-	-	-	-	-	-
-	Powerbomb (Strong)	HCB+HP	200(35 life points)	19	-	-	No	-	-	-	7	1	41	-	-	-	HL	-	2	-	20	-	-	-	-	-	Powerbomb (Fierce)	-	-	-	-	-	-	-	-
-	Slash Elbow (Short)	Hold B, F+LK	100(17 life points)	13	-	-	Yes	3	Juggle	-	15	1	17	-2	0	+2	HL	H	3	4	12	4	-	-	-	13	Slash Elbow (Short)	-	-	-	-	-	-	-	-
-	Slash Elbow (Forward)	Hold B, F+MK	120(21 life points)	15	-	-	Yes	3	Juggle	-	18	1	23	-8	0	+2	HL	H	3	4	12	4	-	-	-	15	Slash Elbow (Forward)	-	-	-	-	-	-	-	-
-	Slash Elbow (Forward)	Hold B, F+HK	140(24 life points)	17	-	-	Yes	3	Juggle	-	18	1	23	-8	0	+2	HL	H	3	4	12	4	-	-	-	18	Slash Elbow (Roundhouse)	-	-	-	-	-	-	-	-
-	Stomp (Short)	Hold D, U+LK	120(21 life points)	11	-	-	No	1	Juggle	-	23	2	19	-3	Down	Down	HL	H	3	4	12	4	-	-	-	15	Stomp (Short)	-	-	-	-	-	-	-	-
-	Stomp (Forward)	Hold D, U+MK	140(24 life points)	11	-	-	No	1	Juggle	-	25	2	19	-3	Down	Down	HL	H	3	4	12	4	-	-	-	18	Stomp (Forward)	-	-	-	-	-	-	-	-
-	Stomp (Forward)	Hold D, U+HK	160(28 life points)	11	-	-	No	1	Juggle	-	25	2	19	-3	Down	Down	HL	H	3	4	12	4	-	-	-	20	Stomp (Roundhouse)	-	-	-	-	-	-	-	-
-	Spiral DDT (Short)	HCB+LK	160(28 life points)	15	-	-	No	-	-	-	20	3	8	-	-	-	HL	H	2	-)	20	-	-	-	-	-	Spiral DDT (Short)	-	-	-	-	-	-	-	-
-	Spiral DDT (Forward)	HCB+MK	160(28 life points)	15	-	-	No	-	-	-	22	3	8	-	-	-	HL	H	2	-)	20	-	-	-	-	-	Spiral DDT (Forward)	-	-	-	-	-	-	-	-
-	Spiral DDT (Forward)	HCB+HK	160(28 life points)	15	-	-	No	-	-	-	22	3	8	-	-	-	HL	H	2	-)	20	-	-	-	-	-	Spiral DDT (Roundhouse)	-	-	-	-	-	-	-	-
Comments here	Flash Chop (EX)	QCF+PP	200(100+100)(34 life points)	14(11+3)	-	-	No	3/7	Juggle/Juggle	-	9・11	2・2	15	-1	Down	Down	HL	H	-	-	-	8(4+4)	-	-	-	12(6+6)	Flash Chop (EX)	-	-	-	-	-	-	-	40
Comments here	Air Knee Smash (EX)	F, D, DF+KK	190(26 life points)	19	-	-	No	-	-	-	3	17	34	-31	Down	Down	HL	HL	-	-	-/16	4	-	-	-	0	Air Knee Smash (EX)	-	-	-	-	-	-	-	40
