description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed
Comments here	Taunt	HP+HK	5	0	No	No	No	19	1	33	?	?	?	HL	HL	4(6)	?	?	8(4+4)	-	-	-	-	-	-
Comments here	Far Jab	LP	15(3 life points)	3	Yes	Yes	Yes	3	2	6	+3	+3	+3	HL	HL	0	1	2	4	-	-	-	-	-	-
Comments here	Far Strong	MP	60(10 life points)	9	No	Yes	Yes	3	2	10	+1	+2	+3	HL	H	2	6	11	4	-	-	-	-	-	-
Comments here	Far Fierce	HP	140(24 life points)	13	No	No	Yes	7	3	17	-1	+1	+3	HL	H	3	10	19	4	-	-	-	-	-	-
Comments here	Short	LK	35(5 life points)	3	No	Yes	Yes	5	2	8	+2	+2	+2	HL	HL	0	1	2	4	-	-	-	-	-	-
Comments here	Forward	MK	80(14 life points)	11	No	No	No	5	3	13	0	+2	+2	HL	H	2	6	11	4	-	-	-	-	-	-
Comments here	Roundhouse	HK	120(21 life points)	13	No	Yes	Yes	5	3	12	+4	+6	+8	HL	H	3	10	19	4	-	-	-	-	-	-
Comments here	Jump Jab	(Air) LP	40(7 life points)	9	No	No	No	3	4	-	+1～+7	+1～+7	+6～+7	H	H	0	1	2	4	-	-	-	-	-	-
Comments here	Jump Strong	(Air) MP	70(12 life points)	13	No	No	No	4	4(5 if neutral jump)	-	+3～+10	+3～+10	+9～+10	H	H	2	6	11	4	-	-	-	-	-	-
Comments here	Neutral Jump Fierce	(Air) HP	120(21 life points)	15	No	No	No	7	3	-	0～+13	0～+13	+8～+13	H	H	3	10	19	4	-	-	-	-	-	-
Comments here	Jump Short	(Air) LK	40(7 life points)	5	No	No	No	3	17	-	-2～+7	-2～+7	+4～+7	H	H	0	1	2	4	-	-	-	-	-	-
Comments here	Jump Forward	(Air) MK	60(10 life points)	7	No	No	No	4	13	-	-2～+10	0～+10	+6～+10	H	H	2	6	11	4	-	-	-	-	-	-
Comments here	Jump Roundhouse	(Air) HK	90(16 life points)	9	No	No	No	11(10 if neutral jump)	4	-	+2～+13	+2～+13	+6～+13	H	H	3	10	19	4	-	-	-	-	-	-
Comments here	Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	10	5	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-
