description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed
Comments here	Taunt	HP+HK	10(5+5)	0	No	No	No	18・17	2・3	62	?	?	?	L/HL	HL/H	6(8)	?	?	8(4+4)	-	-	-	-	-	-
Comments here	Far Jab	LP	40(7 life points)	5	Yes	Yes	Yes	5	4	10	0	0	0	HL	HL	0	1	2	4	-	-	-	-	-	-
Comments here	Far Strong	MP	100(40+60)(15 life points)	16(9+7)	No	Yes	No	6	2,3	19	-2	-10	0	HL	H	2	7	12	8(4+4)	-	-	-	-	-	-
Comments here	Far Fierce	HP	140(24 life points)	17	No	No	No	13	4	19	-4	-2	0	HL	H	3	10	19	4	-	-	-	-	-	-
Comments here	Short	LK	40(7 life points)	3	Yes	Yes	Yes	3	4	6	+4	+4	+4	HL	HL	0	1	2	4	-	-	-	-	-	-
Comments here	Forward	MK	90(16 life points)	7	No	No	No	7	2	17	-2	-1	0	HL	HL	2	6	11	4	-	-	-	-	-	-
Comments here	Roundhouse	HK	130(23 life points)	11	No	No	No	10	3	11	-2	-1	0	HL	H	3	10	19	4	-	-	-	-	-	-
Comments here	Jump Jab	(Air) LP	50(8 life points)	7	No	No	No	4	10	-	-8～+7	-8～+7	+2～+7	H	H	0	1	2	4	-	-	-	-	-	-
Comments here	Jump Strong	(Air) MP	100(17 life points)	13	No	No	No	6	5	-	+3～+10/+1～+10	+3～+10/+1～+10	+8～+10	H	H	2	6	11	4	-	-	-	-	-	-
Comments here	Jump Fierce	(Air) HP	120(21 life points)	11	No	No	No	7(6 if neutral jump)	3	-	-2～+13	-2～+13	+9～+13	H	H	3	10	19	4	-	-	-	-	-	-
Comments here	Jump Short	(Air) LK	50(8 life points)	7	No	No	No	5	8	-	-7～+7	-7～+7	+2～+7	H	H	0	1	2	4	-	-	-	-	-	-
Comments here	Jump Forward	(Air) MK	90(16 life points)	9	No	No	No	7	6	-	-5～+10/-4～+10	-5～+10/-4～+10	+5～+10	H	H	2	6	11	4	-	-	-	-	-	-
Comments here	Jump Roundhouse	(Air) HK	150(40+110)(24 life points)	16(3+13)	No	No	No	9・11	2・4	-	+4～+13/+6～+13	+4～+13/+6～+13	+12～+13/+13	H	H	3	8	18	8(4+4)	-	-	-	-	-	-
Comments here	Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	10	5	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-
Comments here	Body Slam	(B/F)+LP+LK	120(21 life points)	13	-	-	-	2	1	21	-	-	-	(B/F)+LP+LK	-	0	8 (for the player who blocked)	8	-	22	F.MK / DF.HK / S.MP / S.LP	50 / 36 / 34 / 32	-	-	-
Comments here	Crouch Jab	D+LP	40(7 life points)	5	No	Yes	Yes	4	4	7	-1	-1	-1	HL	HL	0	1	2	4	-	-	-	-	-	-
Comments here	Crouch Strong	D+MP	90(16 life points)	7	No	Yes	Yes	6	6	10	-3	-2	-1	HL	HL	2	6	11	4	-	-	-	-	-	-
Comments here	Crouch Fierce	D+HP	110(19 life points)	17	No	Yes	Yes	7	2	23	-7	-5	-3	HL	HL	3	10	19	4	-	-	-	-	-	-
Comments here	Crouch Short	D+LK	40(7 life points)	3	Yes	Yes	Yes	4	4	8	-2	-2	-2	L	L	0	1	2	4	-	-	-	-	-	-
Comments here	Crouch Forward	D+MK	70(12 life points)	3	No	Yes	Yes	8	3	13	-3	-2	-1	L	L	2	6	11	4	-	-	-	-	-	-
Comments here	Crouch Roundhouse	D+HK	100(17 life points)	3	No	No	No	11	2	26	-9	Down	Down	L	L	3	10	19	4	-	-	-	-	-	-
Comments here	Handstand Kick (Overhead)	F+MP	100(17 life points)	13	No	No	No	15	4	8	-2	0	+2	HL	H	2	6	11	4	-	-	-	-	-	-
Comments here	Handstand Whip (Overhead)	F+MK	80(14 life points)	7	No	No	No	11	8	18	-6	-4	-2	HL	H	2	6	11	4	-	-	-	-	-	-
Comments here	Round Arch	B+HK	140(24 life points)	17	No	No	No	12	6	12	+4	+6	+8	HL	H	3	10	19	4	-	-	-	-	-	-
Comments here	Sliding (Sweep)	DF+HK	100(21 life points)	3	No	No	No	12	6	24	-14	Down	Down	HL	L	3	10	19	4	-	-	-	-	-	-
Comments here	Target Combo	Neutral Jump or Diagonal Forward LP -> Jump MK	50+50	7+3	No	No//No	No//No	-	-	-	-	-	-	HL/HL	H/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-
Comments here	Target Combo	Neutral Jump or Diagonal Forward MP -> Jump HP	100+60	13+3	No	No//No	No//No	-	-	-	-	0	-	HL/HL	HL/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-
Comments here	Target Combo	MK -> Crouch HP	90+40	7+5	No	No/No	No/No	7	-	-	-11	Down	Down	HL/HL	H/H	2+?	6+1	11+1	8(4+4)	-	-	-	-	-	-
Comments here	Target Combo	HP -> HK	140+60	17+5	No	No/No	No/No	13	-	-	+1	+3	+5	HL/HL	H/H	3+?	10+1	19+1	8(4+4)	-	-	-	-	-	-
-	Scratch Wheel (Short)	F, D, DF+LK	130(23 life points)	13	-	-	No/No	6	4	31	-19	Down	Down	HL	H	3	10	19	4	-	-	-	16	Scratch Wheel (Short)	-
-	Scratch Wheel (Forward)	F, D, DF+MK	150(90+60)(26 life points)	15(13+3)	-	-	Yes/No/No	4・7	3・2	36	-22	Down	Down	HL	H/H	3	11	20	8(4+4)	-	-	-	19(11+8)	Scratch Wheel (Forward)	-
-	Scratch Wheel (Forward)	F, D, DF+HK	170(90+40+40)(28 life points)	18(13+3×2)	-	-	Yes/No/No	4・7	3・2	36	-22	Down	Down	HL	H/H	3	17	23	12(4+4+4)	-	-	-	21(11+5+5)	Scratch Wheel (Roundhouse)	-
-	Rhyno Horn (Short)	HCF+LK	180(40+140)(31 life points)	22(3+19)	-	-	No/No	14・18・27	2・2・5	14	-3	Down	Down	HL	HL/HL	3	11	20	4	-	-	-	22(5+17)	Rhyno Horn (Short)	-
-	Rhyno Horn (Forward)	HCF+MK	210(40+170)(36 life points)	22(3+19)	-	-	No/No	18・22・31	3・2・5	15	-4	Down	Down	HL	HL/HL	3	11	20	4	-	-	-	26(5+21)	Rhyno Horn (Forward)	-
-	Rhyno Horn (Forward)	HCF+HK	200(40+160)(34 life points)	22(3+19)	-	-	No/No	18・22・31	3・2・5	15	-4	Down	Down	HL	HL/HL	3	11	20	4	-	-	-	25(5+20)	Rhyno Horn (Roundhouse)	-
-	Lynx Tail (Short)	B, D, DB+LK	60(60)(10 life points)	3	-	-	No/No	11・22	3・3	35	-17	Down	Down	Lx2	Lx2	6	20	22	4	-	-	-	7(7)	Lynx Tail (Short)	-
-	Lynx Tail (Forward)	B, D, DB+MK	130(70+60)(22 life points)	6(3+3)	-	-	No/No	14・25	3・3	33	-15	Down	Down	Lx2	Lx2	3	11	20	8(4+4)	-	-	-	15(8+7)	Lynx Tail (Forward)	-
-	Lynx Tail (Forward)	B, D, DB+HK	140(80+10×2+40)(22 life points)	10(3×4))	-	-	No/No	14・25	3・3	33	-15	Down	Down	Lx2	Lx2	3	13	22	16(4x4)	-	-	-	19(10+2×2+5)	Lynx Tail (Roundhouse)	-
-	Mallet Smash (Jab)	HCB+LP	160(120(80)+40)(27 life points)	18(13+5)	-	-	No	21・27	6・2	13	0	0	0	HLx2	Hx2	3	8	18	8(4+4)	-	-	-	17(7)(15(5)+2)	Mallet Smash (Jab)	-
-	Mallet Smash (Strong)	HCB+MP	170(130(90)+40)(29 life points)	18(13+5))	-	-	No	24・29	5・2	12	+2	+2	+2	HLx2	Hx2	3	8	18	8(4+4)	-	-	-	18(7)(16(5)+2)	Mallet Smash (Strong)	-
-	Mallet Smash (Strong)	HCB+HP	180(140(100)+40)(30 life points)	18(13+5)	-	-	No	24・29	5・2	12	+2	+2	+2	HLx2	Hx2	3	8	18	8(4+4)	-	-	-	19(8)(17(6)+2)	Mallet Smash (Fierce)	-
Comments here	Scratch Wheel (EX)	F, D, DF+KK	220(100+40x3)(35 life points)	21(13+3×3)	-	-	Yes/Yes/No/No	3・5・7・9	2・2・2・2	42(10)	-26	Down	Down	HLx4	HLx4	-	-	-	16(4+4+4+4)	-	-	-	12(6+2x3)	Scratch Wheel (EX)	40
Comments here	Rhino Horn (EX)	HCF+KK	225(45+100+80)(38 life points)	23(3+17+3)	-	-	Yes	11・15・23	3・2・8	15(9)	-2	Down	Down	HL	H	-	-	-	12(4x3)	-	-	-	27(5+12+10)	Rhino Horn (EX)	40
Comments here	Mallet Smash (EX)	HCB+PP	180(120+60)(31 life points)	18(13+5)	-	-	No	21・23	2・2	10	+4	+5	+5	Hx2	Hx2	-	-	-	8(4+4)	-	-	-	10(7+3)	Mallet Smash (EX)	40
Comments here	Lynx Tail (EX)	B, D, DB+KK	150(80+10×3+40)(23 life points)	15(3×4+5)	-	-	No	10・18・36・44・66	4x4・6	25	-15	Down	Down	Lx5	Lx4,HL	-	-	-	16(4x4)	-	-	-	21(10+2×3+5)	Lynx Tail (EX)	40
