description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed
"This is a decent semi-poke and situational anti-air. It comes out pretty fast and has decent range, but its recovery isn't as good as it could be and it can be ducked by most characters. It's most often used to tick into C&DB, to keep certain opponents from dashing in, and to anti-air empty jumps. It can be parried high and low, even by characters whose down parries make them crouch under the actual jab."	Far Jab	-	30(5 life points)	3	No	No	No	6	4	4	+4	+4	+4	HL	HL	0	1	2	4	-	-	-	-	-	-
"This move has great range, is safe on block, and actually recovers better if whiffed than you'd think. While it's mainly used in C&DB corner resets and to give Q his second-best kara throwing distance, it can also serve as a poke and anti-air, although it's not too useful as a poke against most characters because it can be ducked by most and stood under by lots. It must be parried high."	Strong	-	90(16 life points)	9	No	No	No	12	5	19	-2	0	+2	HL	H	2	3	7	4	-	-	-	-	-	-
"This move knocks the opponent down for most of its many active hit frames, but at the very end it works as a reset if the opponent is in the air or as just a regular hit if the opponent is on the ground. It can be used as a poke against tall characters and more rarely as a situational anti-air. It's safe when done from max range, beats most high-level pokes, and has an active hitbox that stays up for a long time, but characters who can duck it can punish it easily. This move can be used to end a C&DB or SAII juggle, although there are better options. It has to be parried high."	Fierce	-	130(120)(23 life points)	15(13)	No	No	No	18	16	23	-23	Down	Down	HL	H	3	5	13	4	-	-	-	-	-	-
"This comes out and recovers faster than far standing jab and can be canceled into all of Q's command moves, although it only combos into EX Slaps and super. Its main uses are as a tick and as an anti-air against empty jumps and opponents who jump right in front of you. It can be parried high or low."	Close Jab	(Close to opponent)	35(6 life points)	3	No	Yes	Yes	4	4	6	+2	+2	+2	HL	HL	0	1	2	4	-	-	-	-	-	-
"This is a nice little poke that comes out and recovers very quickly and is great at keeping the opponent out. It's also used to tick into kara throw or C&DB. It can be parried high or low."	Short	-	40(7 life points)	3	No	No	No	4	4	8	+2	+2	+2	HL	HL	0	1	2	4	-	-	-	-	-	-
"This is an excellent poke that should be used often. It beats lots of stuff, has good range, is safe on block, can't be ducked, and is even a decent meaty attack. It must be parried high."	Far Forward	-	110(19 life points)	7	No	No	No	8	5	14	-1	+1	+3	HL	H	2	3	7	4	-	-	-	-	-	-
"This is safe on block (except against a reversal Chun SA2) and beats just about any non-invincible attack, but if whiffed or parried it's completely unsafe. It can be used for keep-out and spacing, as a meaty attack if you think the opponent will dash back, and in anticipation of a poke from an opponent who can't hurt you much if you miss. That said, however, its main use is as a C&DB combo finisher. It has to be parried high."	Roundhouse	-	150(23 life points)	9	No	No	No	20	5	28	-12	-10	-8	HL	H	3	5	13	4	-	-	-	-	-	-
"This is also a very important move because it's Q's only (only.) cancelable ground normal that combos into all his comboable specials and supers. It can also be used as a tick into kara throw and an occasional meaty attack; although it can't beat many wakeup attacks, using it to combo into super as the opponent is waking up is an important way to get damage and force the opponent to stay still on wakeup. It can only be parried high."	Close Forward	(Close to opponent)	100(17 life points)	3	No	Yes	Yes	7	2	18	-2	0	+2	HL	H	2	3	7	4	-	-	-	-	-	-
"The claw! This move comes out quickly, lasts almost the whole jump, and has great priority. It can be used to beat most air and even antiair attacks, to retaliate with after an air-to-air parry when the opponent is in front of or above you, and to fake an empty jump by attacking at the last second. It has to be parried high."	Jump Jab	(Air)	40(7 life points)	7	No	No	No	2	Until landing	-	-8～+7	-8～+7	+2～+7	H	H	0	1	2	4	-	-	-	-	-	-
"This comes out almost immediately, has great priority, and lasts the whole jump, so it's useful as an air-to-air antiair. It must be parried high."	Neutral Jump Jab	(Air)	40(7 life points)	7	No	No	No	2	Until landing	-	+2～+7	+2～+7	+7	H	H	0	1	2	4	-	-	-	-	-	-
