description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Juggle Value	Reset or Juggle	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed	gagueData_Motion	gagueData_Gauge Needed	gagueData_Damage	gagueData_Blocked Damage	gagueData_Stun Damage	gagueData_Super Cancel	gagueData_Juggle Value	gagueData_Reset or Juggle
Comments here	Taunt	HP+HK	-	-	No	No	No	-	131	-	?	?	?	HL	HL	4(6)	?	?	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"A standard quick punch with decent range and no combo applications. Useful as a low-commitment anti-air at ranges where close Jab doesn't activate as it is safe on air parry."	Far Jab	LP	30(3 life points)	3	Yes	Yes	Yes	4	4	4	+3	+3	+3	HL	HL	0	1	2	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Nice, high-angled strike with decent startup and good range, but poor damage. Good for anti-airs and as a poke against taller characters, but prone to being crouched."	Far Strong	MP	60(10 life points)	9	No	No	No	7	3	12	+1	+2	+3	HL	H	2	6	11	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Big punch with good damage, range, and priority. Pretty good as a poke and to build space with its large pushback."	Far Fierce	HP	110(19 life points)	7	No	No	No	10	5	18	-2	0	+2	HL	H	3	10	19	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Fast, low commitment anti-air that chains into itself, meaning you can keep mashing it if the opponent parries in the air. His close LP -> close LK TC will combo even when the opponent is airborne, which is a nice damage bonus to a very effective anti-air."	Close Jab	(Close to opponent) LP	30(5 life points)	3	No	Yes	Yes	4	4	3	+3	+3	+3	HL	HL	0	1	2	4	1	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Remy proceeds to roast the opponent with a BOI motion. Allows for links into cr. Short afterwards. Generally outclassed by close MK, but can be used in certain blockstrings due to its good frame advantage and low pushback."	Close Strong	(Close to opponent) MP	70(12 life points)	7	No	Yes	Yes	5	5	8	+5	+6	+7	HL	H	2	6	11	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Remy's highest damage cancel by a good margin. However, it whiffs on crouching opponents and has disapointing range, making its applications in neutral somewhat limited. Its hitbox is very tall, potentially catching cross-up attempts if you didn't have time to charge a flash kick."	Close Fierce	(Close to opponent) HP	130(21 life points)	15	No	Yes	Yes	6	3	15	-2	0	+2	HL	H	3	6	14	4	15	Reset (Juggle at fist)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"The almighty foot. You can land this as part of Remy's LP xx LK target combo, but the timing for this is difficult. Tied for one of the fastest normals in the game, strangely enough, and has a small disjoint near the tip of his foot. It's nothing to write home about, though it is a one-frame link into SA2."	Short	LK	35(5 life points)	5	No	No	No	2	5	4	+2	+2	+2	HL	HL	0	1	2	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
A decent poke and OK counter-poke with good range, but little else.	Forward	MK	80(14 life points)	7	No	No	No	8	5	14	-3	-2	-1	HL	H	2	6	11	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Functions as a slower, beefier version of standing Strong. Good in anti-air scenarios with a high angled hitbox, but prone to air parries. Also OK as a poke against some taller characters like Hugo, but can be crouched."	Roundhouse	HK	130(23 life points)	11	No	No	No	10	3	23	-9	-7	-5	HL	H	3	10	19	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
