description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed
Comments here	Taunt	HP+HK	-	-	No	No	No	79	150	71	?	?	?	HL	HL	2(3)	?	?	4	-	-	-	-	-	-
Comments here	Far Jab	LP	30(5 life points)	3	Yes	Yes	Yes	3	3	7	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-
Comments here	Far Strong	MP	70(11 life points)	11	No	Yes	Yes	9	4	12	-2	-1	0	HL	H	2	6	11	4	-	-	-	-	-	-
Comments here	Far Fierce	HP	110(19 life points)	15	No	No	No	12	4	17	-3	-1	+1	HL	H	3	10	19	4	-	-	-	-	-	-
Comments here	Close Strong	(Close to opponent) MP	65(12 life points)	9	No	Yes	Yes	6	4	12	-2	+4	+5	HL	H	2	6	11	4	-	-	-	-	-	-
Comments here	Short	LK	35(7 life points)	3	No	No	No	3	2	10	-1	-1	-1	HL	HL	0	1	2	4	-	-	-	-	-	-
Comments here	Forward	MK	70(12 life points)	11	No	No	No	6	6	13	-6	-2	0	HL	H	2	4	8	4	-	-	-	-	-	-
Comments here	Roundhouse	HK	100(17 life points)	13	No	No	No	17	3	25	-11	-1	+1	HL	H	3	10	19	4	-	-	-	-	-	-
Comments here	Jump Jab	(Air) LP	50(60 if neutral jump)(5/7 life points)	7	No	No	No	4(5 if neutral jump)	Until landing	-	-	-	-	H	H	0	1	2	4	-	-	-	-	-	-
Comments here	Jump Strong	(Air) MP	100(14 life points)	11	No	No	No	5(6 if neutral jump)	5	-	-	-	-	H	H	2	4	8	4	-	-	-	-	-	-
Comments here	Jump Fierce	(Air) HP	130(17 life points)	15	No	No	No	6	4	-	-	-	-	H	H	3	6	14	4	-	-	-	-	-	-
Comments here	Neutral Jump Fierce	(Air) HP	130(17 life points)	15	No	No	No	7	3	-	-	-	-	H	H	3	6	14	4	-	-	-	-	-	-
Comments here	Jump Short	(Air) LK	50(7 life points)	5(7 if neutral jump)	No	No	No	4(5 if neutral jump)	10(19 if neutral jump)	-	-	-	-	H	H	0	1	2	4	-	-	-	-	-	-
Comments here	Jump Forward	(Air) MK	90(12 life points)	9	No	No	No	5	6	-	-	-	-	H	H	2	4	8	4	-	-	-	-	-	-
Comments here	Neutral Jump Forward	(Air) MK	90(12 life points)	9	No	No	No	5	6	-	-	-	-	H	H	2	4	8	4	-	-	-	-	-	-
Comments here	Jump Roundhouse	(Air) HK	125(21 life points)	13	No	No	No	6	4	-	-	-	-	H	H	3	6	14	4	-	-	-	-	-	-
Comments here	Neutral Jump Roundhouse	(Air) HK	130(21 life points)	13	No	No	No	7	5	-	-	-	-	H	H	3	6	14	4	-	-	-	-	-	-
Comments here	Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	8	7	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-
Comments here	H.U.G.	LP+LK	100(20x6)(21 life points)	18(3x6)	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	6	-	22	Far S.MP / Close S.MP / S.HP	40 / 29 / 28	-	-	-
Comments here	F.L.G.	F+LP+LK	120(15 life points)	11	-	-	-	2	1	21	-	-	-	F+LP+LK	-	0	7 (for the player who blocked)	7	-	22	Far S.MP / Close S.MP / S.HP	40 / 29 / 28	-	-	-
Comments here	T.R.W.	B+LP+LK	120(14 life points)	11	-	-	-	2	1	21	-	-	-	B+LP+LK	-	0	7 (for the player who blocked)	7	-	22	Far S.MP / Close S.MP / S.HP	40 / 29 / 28	-	-	-
Comments here	Crouch Jab	D+LP	30(5 life points)	3	No	Yes	Yes	3	2	5	+4	+4	+4	HL	HL	0	1	2	4	-	-	-	-	-	-
Comments here	Crouch Strong	D+MP	55(9 life points)	7	No	No	No	5	2	10	-2	+4	+5	HL	HL	2	6	11	4	-	-	-	-	-	-
Comments here	Crouch Fierce	D+HP	100(40x3)(18 life points)	9(5+3+3)	No	No	No	10	7	13	-8	-1	+1	HL	HL	2	4	10	4	-	-	-	-	-	-
Comments here	Crouch Short	D+LK	35(7 life points)	3	No	Yes	Yes	3	4	8	+1	+1	+1	L	L	0	1	2	4	-	-	-	-	-	-
Comments here	Crouch Forward	D+MK	60(10 life points)	3	No	No	No	8	2	14	-2	-1	0	L	L	2	6	11	4	-	-	-	-	-	-
Comments here	Crouch Roundhouse	D+HK	90(16 life points)	3	No	No	No	13	2	25	-11	Down	Down	L	L	2	8	11	4	-	-	-	-	-	-
Comments here	B.M.K.	B+MK	80(14 life points)	11	No	Yes	Yes	5	5	14	-2	-1	0	HL	HL	2¿	6	11	4	-	-	-	-	-	-
Comments here	Kokuu	(Air) F,F or B,B	-	-	No	Yes	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	N.D.L. (Jab)	QCF+LP	60(10 life points)	3	-	-	No	13	11	14	-5	-4	-3	HL	HL	1	3	5	4	-	-	-	4	N.D.L. (Jab)	-
-	N.D.L. (Strong)	QCF+MP	60(10 life points)	3	-	-	No	13	13	16	-9	-8	-7	HL/HL	HL	1	3	5	4	-	-	-	4	N.D.L. (Strong)	-
-	N.D.L. (Strong)	QCF+HP	80(10 life points)	6	-	-	No	13	13	16	-9	-8	-7	HL/HL	HL	1	3	5	4	-	-	-	5	N.D.L. (Fierce)	-
-	A.X.E. (Jab)	QCB+LP	60 (2 hits)(10 life points)	8	-	-	Yes	6	3	16	-5	-1	0	HL	HL	2	5	11	8(4+4)	-	-	-	11	A.X.E. (Jab)	-
-	A.X.E. (Strong)	QCB+MP	140 (4 hits)(17 life points)	12	-	-	Yes	10	3	17	-6	-1	0	HL/HL	HL	2	7	13	16(4+4+4+4)	-	-	-	22	A.X.E. (Strong)	-
-	A.X.E. (Strong)	QCB+HP	200 (5 hits)(20 life points)	15	-	-	Yes	10	3	17	-6	-1	0	HL/HL	HL	3	11	21	20(4+4+4+4+4)	-	-	-	33	A.X.E. (Fierce)	-
-	Air A.X.E. (Jab)	(Air) QCB+LP	90(13 life points)	9	-	-	No	9	3	15	-	-	-	HL	H	2	6	12	12(4+4+4)	-	-	-	14	Air A.X.E. (Jab)	-
-	Air A.X.E. (Strong)	(Air) QCB+MP	120(16 life points)	11	-	-	No	11	3	15	-	-	-	HL	H	2	7	13	16(4+4+4+4)	-	-	-	22	Air A.X.E. (Strong)	-
-	Air A.X.E. (Strong)	(Air) QCB+HP	180(18 life points)	13	-	-	No	11	3	15	-	-	-	HL	H	3	11	21	20(4+4+4+4+4)	-	-	-	29	Air A.X.E. (Fierce)	-
-	D.R.A. (Short)	(Air) QCB+LK	110(19 life points)	5	-	-	No	14	Until Landing	10~11/20 Whiff/12~13 Guard/Parry	-11	0	+2	HL	H	3	12	18	4	-	-	-	14	D.R.A. (Short)	-
-	D.R.A. (Forward)	(Air) QCB+MK	110(19 life points)	5	-	-	No	14	Until Landing	10~11/20 Whiff/12~13 Guard/Parry	-11	0	+2	HL	H	3	12	18	4	-	-	-	14	D.R.A. (Forward)	-
-	D.R.A. (Forward)	(Air) QCB+HK	110(19 life points)	5	-	-	No	14	Until Landing	10~11/20 Whiff/12~13 Guard/Parry	-11	0	+2	HL	H	3	12	18	4	-	-	-	14	D.R.A. (Roundhouse)	-
Comments here	N.D.L. (EX)	QCF+PP	80(50+30)(13 life points)	6(3+3)	-	-	No	12・18	6・7	15	0	Down	Down	HL	H	-	-	-	8(4+4)	-	-	-	5(3+2)	N.D.L. (EX)	40
Comments here	A.X.E. (EX)	QCB+PP	240(60+[40x5])(22 life points)	18(5+[3x5])	-	-	Yes/No~	8	3・3・5・3・3・4	15(13)	-4	-1	0	HL	H	-	-	-	24(4x6)	-	-	-	40(15+[5x5])	A.X.E. (EX)	40
Comments here	Air A.X.E. (EX)	(Air) QCB+PP	210(60+[35X5])(20 life points)	15(5+[3X5])	-	-	Yes	6	3・3・4・3・3・4	15	-	-	-	HL	H	-	-	-	24(4X6)	-	-	-	35(15+[4X5])	Air A.X.E. (EX)	40
Comments here	D.R.A. (EX)	(Air) QCB+KK	240(80(x10))(20 life points)	15(5(x10))	-	-	No	6・8	Until Landing	20	-8～0	-1～0・Down	-2～0・Down	HL	H	-	-	-	8(4+4)	-	-	-	5(5(x10))	D.R.A. (EX)	40
