description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	gagueData_Move	gagueData_Motion	gagueData_Damage	gagueData_Stun Damage	gagueData_Chains into itself	gagueData_Special Cancel	gagueData_Super Cancel	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	Gauge Needed
Attack up (If Taunt connects, no bonus given).	Taunt	HP+HK	5	0	No	No	No	21	3	1	?	?	?	L	L	4(6)	?	?	4	-	-	-	-	-	-	-	-	-	-	-	-
"Urien jabs into the air quickly, primary uses include comboing into s.MP, a quick,
								mediocre anti-air, hiding a charge, in mid-screen unblockable combos, a ""filler"" attack
								when going for pressure and confusing an opponent before a throw. Cancelable into: Self,
								MP, Special, Super"	Far Jab	LP	15(3 life points)	3	Yes	Yes	Yes	4	2	6	+3	+3	+3	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-
"Urien stretches with his right hand very far for a nice punch, solid poke, very good
								counter-poke, works as a decent anti-air, for resets, and stops some moves pretty clean
								(mostly rushing attacks). If used as anti-air, can be canceled into a tackle, headbutt
								or anti-air fireball to mess up would be air-parries. Combos into headbutts and tackles
								from close range. Good all around move. Best move for wiffing to gain meter."	Far Strong	MP	80(14 life points)	9	No	Yes	Yes	5	5	10	0	+1	+2	HL	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-
"Urien throws out a mean karate chop. Great move, comes out fast, unpunishable from a good
								range, does great stun and a lot of damage, knocks aerial opponents to the ground,
								stuffs a lot of good moves, a great poke to throw out, has an extremely large variety of
								uses, possibly Urien's best normal attack."	Far Fierce	HP	130(23 life points)	15	No	No	No	10	4	15	-3	-1	+1	HL	H	3	10	19	4	-	-	-	-	-	-	-	-	-	-	-	-
"Urien shifts his foot forward a little bit, like LP except worse in almost every way,
								except it doesn't whiff versus crouching opponents (in which a crouching LP would work
								just as well in that case). Cancels into: Special, Super"	Short	LK	30(5 life points)	3	No	Yes	Yes	5	2	7	+2	+2	+2	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-
"Urien fully extends his right leg in a side kick, poke with great range, can be used to
								keep certain characters like Hugo and Q in their place. Not much use otherwise. Good to
								throw out there every once and a while."	Forward	MK	80(14 life points)	9	No	No	No	8	2	15	-4	-3	-2	HL	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-
"Urien lifts his leg torwards the sky and swings it down like an axe. Slow overhead, makes
								Urien back up a TINY bit, so it can be used to avoid certain moves as well as to avoid
								throws. Good to throw out during throw setups to catch people off gaurd. Two hits,
								knocks down in air. Not a good every day move but it's nice to throw out every once in a
								while. Unsafe on block, can be reversaled by certain moves (Shippu for example)"	Roundhouse	HK	140(50+90)(16 life points)	12(3+9)	No	No	No	17	3	20	-7	-5	-3	HL	H	3	10	19	4	-	-	-	-	-	-	-	-	-	-	-	-
"Urien places his elbow near his thigh and holds it in place. Pathetic range, stays out
								his entire jump."	Jump Jab	(Air) LP	50(7 life points)	7	No	No	No	4	Until landing	-	-5～+7	-5～+7	+4～+7	H	H	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Jump Strong	(Air) MP	90(9 life points)	9	No	No	No	6	4	-	+3～+10	+3～+10	+10	H	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-
"Urien slams slightly downward, lots of hitstun and good damage. But still worse than
								jumping HK in every concievable way."	Jump Fierce	(Air) HP	130(11 life points)	11	No	No	No	7	3	-	+3～+13	+3～+13	+11～+13	H	H	3	10	19	4	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Jump Short	(Air) LK	50(8 life points)	7	No	No	No	4	10	-	-7～+7	-7～+7	+2～+7	H	H	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-
Frame Data	Jump Forward	(Air) MK	90(16 life points)	9	No	No	No	6	4	-	+2～+10	+2～+10	+9～+10	H	H	-	-	-	-	Jump Roundhouse	(Air) HK	130(23 life points)	11	No	No	No	-	-	-	-	-
Comments here	Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	10	5	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-
