description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Juggle Value	Reset or Juggle	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed
"Adds some damage onto your next combo. Only used after stuns (which Yang can get quite
									easily) or after a hard knockdown from Super 2."	Taunt	HP+HK	5	0	No	No	No	21	10	27	?	?	?	HL	HL	4(6)	?	?	4	-	-	-	-	-	-	-	-
"Used as a tick into a throw or command grab or as a low-commitment anti-air. Since it
									chains into itself, Yang can keep pressing Jab as an anti-air to force the opponent
									to parry endlessly until they fail. This has a high success rate, but is weak.
									Generally outclassed by crouch Jab since it can be crouched by most characters."	Far Jab	LP	20(3 life points)	3	Yes	Yes	Yes	3	2	6	+4	+4	+4	HL	HL	0	1	2	4	15	Reset	-	-	-	-	-	-
"A lackluster poke. His strong -> fierce -> b+fierce TC is a good conversion, but will
									fall out if the MP connects from too far out. Yang has better pokes than this, so it
									doesn't see much use."	Far Strong	MP	50(8 life points)	5	No	No	No	5	4	12	-2	-1	0	HL	H	2	5	10	4	15	Reset	-	-	-	-	-	-
"A poke with nice range. It also serves as a clean, if predictable, anti-air. Be
									careful with it as parries make it very punishable."	Far Fierce	HP	120(16 life points)	15	No	No	No	9	6	12	-5	-3	-1	HL	H	3	9	18	4	7	Reset	-	-	-	-	-	-
"A good confirming tool with great frame advantage. Also Yang's max damage cancel,
									meaning it's his go-to punish for close-range punishes. This is Yang's reason to
									make the opponent think about high parries on wakeup."	Close Strong	(Close to opponent) MP	55(9 life points)	5	No	Yes	Yes	4	3	7	+6	+7	+8	HL	H	2	5	10	4	15	Reset	-	-	-	-	-	-
"Hits twice. The first hit cancels, and builds more meter than close Strong, so it's
									used in meter build combos. It does less damage, however, so use close MP for
									everything else. It can also be used as an anti-air or in pressure to punish
									opponents for only attempting one parry."	Close Fierce	(Close to opponent) HP	100(21 life points)	14	No	Yes	No	5	3	13	-2	-1	0	HL	H	3	8	17	4	15/3	Reset/Reset	-	-	-	-	-	-
"Goes very far very fast, which makes it ideal for punishes and after jump-ins as a
									cancel to EX rekkas. Unfortunately Yang doesn't have much better to go for after
									jump-ins since his low cancels are either too slow or stubby and his high cancels
									are all close normals."	Short	LK	30(5 life points)	3	No	Yes	Yes	3	3	6	+2	+2	+2	HL	HL	0	1	2	4	15	Reset	-	-	-	-	-	-
Great poke and OK anti-air. This is Yang's main way of poking.	Forward	MK	80(14 life points)	9	No	No	No	9	3	15	-4	-3	-2	HL	H	2	5	10	4	3	Reset	-	-	-	-	-	-
Slow startup and redundancy with Fierce make this move pretty bad.	Roundhouse	HK	100(17 life points)	11	No	No	No	14	3	22	-8	-6	-4	HL	H	3	9	18	4	3	Reset	-	-	-	-	-	-
"Yang's launcher. You can super jump cancel it for a reset into a mixup opportunity, or
									you can combo a MK roll afterwards for more damage and a knockdown. After the MK
									roll in the corner you can juggle an SA2, which is a tight juggle (1-2 frame window)
									and rarely worth it. Also in the corner, you can juggle a hard rekka series for big
									damage. Since it's safe on block and covers such a high angle, it makes for a very
									nasty tool in the corner - if they jump, they get caught, and if they sit on the
									ground, they have to parry or respect it."	Close Forward	(Close to opponent) MK	80(14 life points)	9	No	Yes	Yes	7	3	15	-2	Down	Down	HL	H	2	5	10	4	3	Juggle	-	-	-	-	-	-
Yang has no need for this normal. Divekick does everything it does and way more.	Jump Jab	(Air) LP	40(7 life points)	7	No	No	No	2	Until landing	-	-4～+7	-4～+7	+2～+7	H	H	0	1	2	4	3	Reset	-	-	-	-	-	-
Insert jumping Jab here.	Jump Strong	(Air) MP	80(14 life points)	9(11 if neutral jump)	No	No	No	3	6(7 if neutral jump)	-	-2～+10	+5/+6～+10	+5/+6～+10	H	H	2	5	10	4	3	Reset	-	-	-	-	-	-
"Does less damage than jump roundhouse, so use that. It has a more conventional attack
									angle, so it might be more consistent on crouching characters."	Jump Fierce	(Air) HP	100(17 life points)	13	No	No	No	5	4	-	-2～+10	-2～+10	+5～+10	H	H	3	9	18	4	3	Reset	-	-	-	-	-	-
"Does the most damage out of all of Yang's aerial normals. It has more pushback than
									roundhouse, unfortunately, so it is less common. You can combo into close MK for
									bigger damage, but this is a difficult link."	Neutral Jump Fierce	(Air) HP	120(21 life points)	15	No	No	No	8	5	-	+4～+10	+4～+10	+9～+10	H	H	3	9	18	4	3	Reset	-	-	-	-	-	-
Insert jumping Jab here.	Jump Short	(Air) LK	40(7 life points)	5	No	No	No	3(4 if neutral jump)	12	+1～+7	+1～+7	+6～+7/+7	-	H	H	0	1	2	4	3	Reset	-	-	-	-	-	-
"Goes the farthest of the jump attacks, but has a bit less hitstun than his heavies. It
									does a decent job for air-to-airs. His target combo from it can dissuade anti-air
									parries."	Jump Forward	(Air) MK	70(12 life points)	9	No	No	No	6	7	-	-3～+10	-3～+10	+5～+10	H	H	2	5	10	4	3	Reset	-	-	-	-	-	-
Functionally identical to his diagonal jump MK.	Neutral Jump Forward	(Air) MK	70(12 life points)	9	No	No	No	6	7	-	-3～+10	-3～+10	+5～+10	H	H	2	5	10	4	3	Reset	-	-	-	-	-	-
"Great air-to-air hitbox and does the most damage from a diagonal jump, but its high
									hitbox means it is a bit finicky on grounded opponents (especially if they crouch).
									Still useful as Yang's general purpose jump-in normal."	Jump Roundhouse	(Air) HK	110(19 life points)	13	No	No	No	5	5	-	0～+10	0～+10	+5～+10	H	H	3	9	18	4	3	Reset	-	-	-	-	-	-
Identical to his diagonal jump HK.	Neutral Jump Roundhouse	(Air) HK	110(19 life points)	13	No	No	No	5	5	-	-1～+10	-1～+10	+4～+10	H	H	3	9	18	4	3	Reset	-	-	-	-	-	-
